[5.7245 0.4294 0.7934 3.5861]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8108 0.4256 0.7908 3.7719]
[5.8448 0.4216 0.7921 3.9402]
[5.9867 0.4295 0.7947 3.9812]
[5.6705 0.4288 0.7763 3.9421]
[5.9126 0.4223 0.7627 3.9648]
[5.7979 0.4294 0.7941 4.1325]
[4.7663 0.4371 0.7829 4.1162]
[6.     0.4332 0.7947 3.2386]
[6.     0.4325 0.7412 3.3559]
[4.76   0.4507 0.7631 3.3964]
[5.8095 0.4308 0.8126 3.5028]
[4.7577 0.4101 0.781  3.8701]
[5.9471 0.3968 0.8392 4.0516]
[5.1346 0.4129 0.853  3.0341]
[5.7262 0.4231 0.7736 3.4593]
[6.     0.48   0.92   3.9685]
[3.     0.3905 0.92   6.    ]
[6.   0.36 0.72 6.  ]
[5.4396 0.463  0.72   5.8687]
[3.     0.36   0.8441 6.    ]
[6.     0.3652 0.92   3.    ]
[4.4686 0.36   0.8901 6.    ]
[3.     0.48   0.92   5.0817]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.     0.36   0.8778 6.    ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[5.3495 0.48   0.92   3.    ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
