[5.5271 0.4338 0.8164 3.6417]
[5.5271 0.4338 0.8164 3.6417]
[5.1412 0.4313 0.8122 3.8805]
[5.1412 0.4313 0.8122 3.8805]
[5.1412 0.4313 0.8122 3.8805]
[5.1412 0.4313 0.8122 3.8805]
[5.1412 0.4313 0.8122 3.8805]
[5.1412 0.4313 0.8122 3.8805]
[5.5894 0.4266 0.7963 3.8918]
[5.5919 0.4264 0.787  3.9619]
[5.6792 0.4231 0.7918 3.9031]
[5.6591 0.4276 0.7921 4.2627]
[5.8095 0.4186 0.7864 4.0343]
[5.9335 0.4402 0.8257 3.4619]
[6.     0.4005 0.7867 4.1512]
[6.     0.4594 0.7735 3.8731]
[5.6781 0.4375 0.7525 4.3023]
[5.1019 0.4586 0.7538 4.0186]
[5.3654 0.4348 0.7308 4.1155]
[5.7366 0.4671 0.8174 4.4307]
[5.1285 0.4    0.72   4.2238]
[4.2198 0.4294 0.8297 3.    ]
[6.     0.4191 0.8175 3.    ]
[6.     0.4108 0.7844 4.2717]
[6.     0.4197 0.7383 4.2449]
[6.   0.48 0.92 3.  ]
[3.     0.48   0.72   3.7773]
[6.     0.36   0.8049 3.    ]
[6.   0.48 0.72 6.  ]
[4.4816 0.426  0.72   4.4131]
[3.     0.4497 0.92   6.    ]
[3.2    0.48   0.8699 3.    ]
[3.     0.36   0.7966 3.    ]
[6.   0.36 0.72 3.  ]
[3.4968 0.48   0.7948 6.    ]
[3.854 0.36  0.72  3.   ]
[3.   0.48 0.92 3.  ]
[6.     0.36   0.72   4.9172]
[6.     0.3687 0.72   4.301 ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
