[5.4758 0.438  0.8152 3.7624]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.3701 0.4274 0.7847 3.9618]
[5.8838 0.4312 0.7883 3.4528]
[5.9813 0.4313 0.756  3.5682]
[5.9463 0.421  0.7933 4.1336]
[5.8927 0.4225 0.7764 3.666 ]
[4.9085 0.4203 0.7908 3.6905]
[5.6421 0.4483 0.7346 4.1866]
[5.6548 0.4226 0.8421 3.44  ]
[5.4874 0.4301 0.7777 3.1831]
[5.9022 0.3936 0.8272 4.5661]
[5.5693 0.4373 0.7688 4.7449]
[4.239  0.4204 0.72   3.6224]
[5.3242 0.48   0.72   4.5254]
[6.     0.4047 0.8569 3.    ]
[4.4348 0.4603 0.72   3.    ]
[6.    0.428 0.92  3.   ]
[5.5142 0.48   0.9064 3.8974]
[6.     0.4429 0.72   3.9894]
[5.2761 0.4282 0.72   3.    ]
[6.     0.3799 0.72   6.    ]
[4.5097 0.36   0.92   6.    ]
[3.     0.36   0.9066 3.    ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[5.889 0.36  0.92  6.   ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.     0.48   0.9073 6.    ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
