[5.7656 0.4367 0.82   3.6824]
[5.7656 0.4367 0.82   3.6824]
[5.3984 0.4353 0.7778 3.7706]
[5.3984 0.4353 0.7778 3.7706]
[5.3984 0.4353 0.7778 3.7706]
[5.3984 0.4353 0.7778 3.7706]
[5.3842 0.4292 0.7968 3.9383]
[5.3842 0.4292 0.7968 3.9383]
[5.3842 0.4292 0.7968 3.9383]
[5.3842 0.4292 0.7968 3.9383]
[5.9473 0.4268 0.7868 3.9456]
[5.9311 0.4218 0.8037 3.6276]
[5.6435 0.4175 0.7804 3.7216]
[5.9897 0.4086 0.771  3.8486]
[5.8774 0.4103 0.7903 3.3248]
[6.     0.4338 0.8083 4.0008]
[6.     0.4231 0.7369 4.2547]
[6.     0.4161 0.8036 3.3944]
[5.5773 0.438  0.7219 3.4835]
[4.6427 0.4598 0.7656 4.2259]
[5.2941 0.4183 0.8872 3.    ]
[4.8432 0.437  0.7496 3.    ]
[4.8586 0.4141 0.92   4.6376]
[3.8934 0.36   0.72   3.6088]
[6.     0.48   0.8708 5.9669]
[4.561  0.4142 0.72   3.    ]
[6.     0.48   0.72   4.2348]
[3.8638 0.3601 0.72   6.    ]
[5.5991 0.36   0.92   3.    ]
[5.1909 0.48   0.92   3.    ]
[3.     0.3792 0.92   3.    ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[4.1174 0.36   0.72   6.    ]
[6.   0.36 0.92 3.  ]
[3.     0.3725 0.72   3.    ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.0187 0.36   0.72   6.    ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
