[5.4779 0.4377 0.8149 3.7801]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.3929 0.4329 0.7954 3.9983]
[5.9045 0.432  0.7778 3.8265]
[5.7714 0.42   0.7779 4.0054]
[5.7039 0.4216 0.7804 4.0275]
[6.     0.4222 0.7874 3.5947]
[5.7925 0.4412 0.7694 3.5992]
[5.8354 0.4069 0.7887 3.7243]
[6.     0.4706 0.7539 3.3103]
[6.     0.4057 0.8098 3.5663]
[6.     0.4041 0.8002 4.3978]
[5.9064 0.4545 0.8    3.3142]
[6.     0.4132 0.7204 4.823 ]
[3.1302 0.4616 0.7687 4.2484]
[6.     0.36   0.8069 3.    ]
[6.     0.4643 0.7533 5.4512]
[6.     0.36   0.7789 5.4501]
[3.     0.4509 0.7251 3.0326]
[3.   0.36 0.72 6.  ]
[6.     0.48   0.8488 3.    ]
[4.8009 0.36   0.8242 6.    ]
[3.   0.48 0.92 3.  ]
[6.     0.4688 0.72   3.    ]
[6.     0.4432 0.72   3.    ]
[6.   0.48 0.72 6.  ]
[3.     0.4164 0.72   3.    ]
[3.   0.48 0.92 3.  ]
[3.     0.48   0.9104 6.    ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.     0.4554 0.92   6.    ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.     0.48   0.9042 6.    ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
