[5.3258 0.4349 0.8103 3.8167]
[5.3258 0.4349 0.8103 3.8167]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.0374 0.4315 0.7902 3.9934]
[5.675  0.4278 0.7981 3.8474]
[5.7411 0.4232 0.7756 3.9011]
[5.841  0.4142 0.7877 3.5005]
[5.7106 0.4425 0.7582 3.6825]
[5.961  0.4311 0.8161 3.8249]
[5.2704 0.4161 0.7648 3.2726]
[5.9314 0.4109 0.7561 4.127 ]
[6.     0.4607 0.7628 3.7434]
[5.5933 0.4097 0.7313 3.    ]
[5.4463 0.4435 0.7599 3.    ]
[6.     0.4458 0.8052 4.498 ]
[4.2858 0.4616 0.7644 3.7925]
[5.463  0.4579 0.72   3.    ]
[6.     0.4285 0.72   4.0751]
[5.918  0.36   0.7243 3.    ]
[6.     0.4598 0.8401 4.3086]
[3.5801 0.36   0.92   5.1402]
[5.3341 0.48   0.7737 6.    ]
[3.     0.36   0.7356 3.    ]
[6.   0.48 0.92 6.  ]
[3.     0.3734 0.72   3.    ]
[3.     0.48   0.72   3.9667]
[3.   0.36 0.92 6.  ]
[3.     0.36   0.7862 3.    ]
[5.9697 0.48   0.92   6.    ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[4.1438 0.36   0.92   3.    ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.     0.48   0.92   4.4558]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
