[5.5826 0.4381 0.801  3.5891]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.5954 0.4277 0.7968 3.818 ]
[5.6802 0.4259 0.7932 3.8793]
[5.7558 0.419  0.7904 3.7292]
[5.5403 0.4188 0.7689 3.9143]
[5.8907 0.4267 0.7764 3.5709]
[5.8497 0.4144 0.7742 4.4155]
[5.8724 0.4265 0.7244 4.2094]
[5.8095 0.4318 0.7855 3.5424]
[5.9366 0.4344 0.7481 4.1694]
[5.6438 0.4472 0.7496 4.3431]
[5.5749 0.4219 0.7692 3.    ]
[6.     0.373  0.7431 3.4454]
[5.6534 0.4688 0.8163 4.1278]
[4.3755 0.4132 0.8313 4.5755]
[6.     0.4335 0.8129 5.0713]
[6.     0.4063 0.7986 3.    ]
[6.     0.4698 0.8512 6.    ]
[6.     0.4468 0.72   5.1066]
[6.     0.36   0.8536 3.7928]
[5.4257 0.42   0.72   6.    ]
[3.   0.48 0.72 3.  ]
[6.     0.48   0.8651 3.2003]
[6.    0.48  0.92  4.402]
[6.     0.48   0.8085 6.    ]
[3.     0.36   0.92   5.5148]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
