[5.3586 0.4343 0.815  3.9211]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.5259 0.4218 0.7911 4.0564]
[5.6617 0.4326 0.805  3.8551]
[6.     0.4299 0.7798 3.6882]
[5.7291 0.4242 0.7718 3.7805]
[5.699  0.4214 0.7981 3.5556]
[5.6916 0.4366 0.7953 4.3161]
[5.3103 0.4337 0.7722 4.074 ]
[5.6477 0.4359 0.8125 4.3076]
[6.     0.3981 0.8087 5.0871]
[5.6826 0.4106 0.7824 3.    ]
[5.7856 0.3901 0.8098 3.0592]
[6.     0.4288 0.72   4.815 ]
[6.     0.36   0.779  4.3688]
[5.6362 0.36   0.7645 3.    ]
[4.0119 0.36   0.9121 3.    ]
[5.7205 0.4266 0.8629 5.3585]
[6.   0.48 0.72 6.  ]
[4.9882 0.48   0.8994 3.    ]
[6.   0.48 0.92 6.  ]
[4.6999 0.48   0.8856 6.    ]
[3.     0.36   0.72   4.3258]
[6.   0.48 0.72 6.  ]
[3.     0.48   0.7427 3.    ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.     0.4459 0.92   6.    ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
