[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.4798 0.4379 0.8012 3.5115]
[5.366  0.4325 0.7832 3.9221]
[5.8736 0.4209 0.7781 3.964 ]
[5.8397 0.4221 0.7915 3.8819]
[5.6935 0.427  0.7754 4.0175]
[5.715  0.4157 0.7885 3.537 ]
[5.2457 0.4317 0.7835 4.2031]
[6.     0.4333 0.7217 4.1947]
[5.4092 0.433  0.7961 4.1606]
[6.     0.4132 0.7764 3.7105]
[5.6015 0.438  0.7635 3.6696]
[6.     0.4273 0.8425 4.5262]
[5.6193 0.458  0.7263 4.6752]
[5.9941 0.4361 0.7384 4.735 ]
[5.3792 0.3713 0.7901 3.3227]
[6.     0.36   0.7599 3.    ]
[4.3821 0.398  0.7564 4.5454]
[3.2255 0.4504 0.7244 4.8568]
[5.3729 0.404  0.92   3.0116]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.     0.4732 0.92   3.    ]
[3.    0.36  0.72  4.483]
[3.4158 0.36   0.92   6.    ]
[3.   0.36 0.92 3.  ]
[6.     0.36   0.72   4.1836]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.     0.3868 0.92   6.    ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
