[5.3112 0.4293 0.8122 3.7335]
[5.3112 0.4293 0.8122 3.7335]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.3583 0.4293 0.7902 3.9161]
[5.9627 0.4324 0.7721 3.7498]
[5.9199 0.4298 0.7752 3.649 ]
[6.     0.4384 0.7808 3.8309]
[5.9414 0.4252 0.7718 3.3325]
[5.8558 0.4122 0.7757 3.3303]
[5.7387 0.4269 0.7579 4.0683]
[5.7513 0.4619 0.7848 3.7353]
[5.8552 0.4136 0.72   3.7774]
[6.     0.4473 0.8207 4.3461]
[6.     0.4371 0.72   3.2012]
[6.     0.4235 0.7339 3.1962]
[6.     0.3786 0.7846 3.8199]
[6.     0.4132 0.7237 4.1374]
[6.     0.3767 0.7203 3.    ]
[6.     0.4124 0.7813 3.6133]
[5.2915 0.36   0.7469 3.    ]
[3.   0.36 0.72 6.  ]
[5.3151 0.48   0.92   5.0428]
[6.     0.4024 0.72   4.4839]
[3.   0.36 0.72 6.  ]
[3.2874 0.4166 0.92   6.    ]
[3.     0.36   0.72   4.9784]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.     0.3727 0.72   6.    ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
