[5.732  0.4282 0.7966 3.7103]
[5.732  0.4282 0.7966 3.7103]
[5.732  0.4282 0.7966 3.7103]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8077 0.4258 0.792  3.8597]
[5.8548 0.4305 0.7897 4.0161]
[5.9068 0.4279 0.7796 3.8126]
[5.6409 0.4123 0.8009 4.0235]
[5.6192 0.4228 0.7924 3.7621]
[6.     0.4376 0.797  4.1703]
[5.9794 0.4109 0.7756 4.2116]
[5.5859 0.4285 0.8348 4.1921]
[5.6342 0.4155 0.7558 4.3721]
[6.     0.446  0.7995 3.5428]
[6.     0.4452 0.7489 4.0706]
[6.     0.4622 0.8493 3.4456]
[5.1734 0.418  0.7928 3.8191]
[6.     0.3851 0.8979 5.6921]
[4.7257 0.4267 0.7633 4.3102]
[3.     0.3888 0.72   6.    ]
[5.2026 0.36   0.7812 4.2364]
[6.     0.36   0.7249 5.6036]
[6.     0.3869 0.72   5.1298]
[3.0915 0.48   0.72   4.425 ]
[6.   0.36 0.92 3.  ]
[5.2387 0.48   0.92   6.    ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.     0.4182 0.92   4.7515]
[6.     0.36   0.92   3.0974]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
