[5.5546 0.4213 0.8096 3.9585]
[5.5546 0.4213 0.8096 3.9585]
[5.5546 0.4213 0.8096 3.9585]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.6538 0.4272 0.7882 3.9046]
[5.4672 0.4288 0.7931 3.7013]
[5.6397 0.4315 0.7954 3.3495]
[5.9758 0.4249 0.784  4.1321]
[6.     0.4239 0.7817 3.8518]
[5.8292 0.4429 0.7806 3.3806]
[5.607  0.4088 0.7992 3.8881]
[5.2043 0.4323 0.8458 3.1476]
[5.6545 0.3877 0.7729 3.6068]
[5.343  0.4247 0.7818 4.4188]
[6.     0.4242 0.773  3.9973]
[6.     0.4687 0.8458 3.6742]
[6.     0.4162 0.8179 5.2138]
[5.9383 0.4745 0.72   5.5683]
[5.4017 0.3634 0.92   3.    ]
[5.302  0.36   0.8772 3.1719]
[6.     0.36   0.8185 4.5496]
[3.     0.4034 0.9133 4.2454]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.     0.3998 0.72   3.    ]
[6.     0.36   0.72   4.7507]
[6.     0.4052 0.92   3.    ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.246 0.48  0.92  3.   ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
