[5.503  0.4343 0.7879 3.7525]
[5.503  0.4343 0.7879 3.7525]
[5.503  0.4343 0.7879 3.7525]
[5.7758 0.4268 0.7905 3.8458]
[5.7758 0.4268 0.7905 3.8458]
[5.7758 0.4268 0.7905 3.8458]
[5.8507 0.4261 0.7834 3.8458]
[5.8507 0.4261 0.7834 3.8458]
[5.8507 0.4261 0.7834 3.8458]
[5.8507 0.4261 0.7834 3.8458]
[5.7287 0.4229 0.7661 3.8777]
[6.     0.4326 0.7775 3.6974]
[5.7956 0.4187 0.7636 3.5435]
[5.8759 0.4196 0.7776 4.2195]
[5.7183 0.4251 0.79   4.7046]
[5.8654 0.4207 0.7807 3.6998]
[6.     0.396  0.7615 4.1975]
[6.     0.4405 0.8287 3.9789]
[5.4921 0.48   0.7709 3.7539]
[5.5177 0.4104 0.867  4.7298]
[6.     0.3906 0.7497 3.    ]
[6.     0.3676 0.7576 4.7742]
[6.     0.36   0.7518 3.6845]
[4.4733 0.4579 0.72   4.4803]
[5.3863 0.36   0.72   5.4355]
[4.9441 0.36   0.72   3.    ]
[5.796  0.4675 0.72   6.    ]
[3.     0.36   0.72   5.8744]
[6.     0.48   0.7439 6.    ]
[6.     0.4016 0.7948 6.    ]
[6.   0.48 0.92 6.  ]
[3.     0.4759 0.92   6.    ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.    0.36  0.778 3.   ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
