[5.6087 0.4376 0.8022 3.7311]
[5.6087 0.4376 0.8022 3.7311]
[5.6087 0.4376 0.8022 3.7311]
[5.6087 0.4376 0.8022 3.7311]
[5.6087 0.4376 0.8022 3.7311]
[5.6087 0.4376 0.8022 3.7311]
[5.6397 0.4313 0.7963 3.8349]
[5.6397 0.4313 0.7963 3.8349]
[5.6397 0.4313 0.7963 3.8349]
[5.6397 0.4313 0.7963 3.8349]
[5.7607 0.4344 0.7955 3.9602]
[6.     0.4331 0.7789 3.8749]
[5.9263 0.4137 0.7907 3.7885]
[5.9124 0.4348 0.7857 3.8775]
[6.     0.4134 0.7729 4.1161]
[5.494  0.4209 0.7497 3.7769]
[5.4457 0.406  0.7944 3.7944]
[5.2155 0.4169 0.7623 4.0692]
[6.     0.4228 0.8303 3.2509]
[6.     0.4343 0.723  3.5719]
[6.     0.4592 0.7619 3.    ]
[5.3032 0.4757 0.7259 4.5516]
[3.6179 0.48   0.72   5.1103]
[5.3073 0.3734 0.759  3.5249]
[4.1555 0.4717 0.8711 3.    ]
[6.     0.36   0.7302 3.    ]
[6.     0.4275 0.7535 3.    ]
[6.     0.48   0.7664 6.    ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.     0.48   0.7913 5.2546]
[3.   0.48 0.92 6.  ]
[5.9695 0.4589 0.92   3.    ]
[3.   0.36 0.92 6.  ]
[3.     0.36   0.8243 3.8219]
[6.     0.48   0.7285 3.    ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.     0.48   0.7539 3.    ]
[3.     0.4146 0.92   3.    ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.     0.36   0.72   5.4699]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
