[5.6288 0.4256 0.8118 3.6006]
[5.6288 0.4256 0.8118 3.6006]
[5.6288 0.4273 0.7998 3.7745]
[5.6288 0.4273 0.7998 3.7745]
[5.6288 0.4273 0.7998 3.7745]
[5.6288 0.4273 0.7998 3.7745]
[5.6288 0.4273 0.7998 3.7745]
[5.6288 0.4273 0.7998 3.7745]
[5.698  0.4283 0.7846 3.8453]
[5.698  0.4283 0.7846 3.8453]
[5.8586 0.4275 0.7947 4.0677]
[5.8346 0.4327 0.7732 3.663 ]
[5.8303 0.4285 0.7687 4.1387]
[5.7463 0.4319 0.7751 3.9359]
[5.5561 0.4364 0.7752 3.8359]
[5.4703 0.429  0.797  3.3603]
[6.     0.4091 0.8122 4.3698]
[5.8487 0.402  0.8239 3.1407]
[5.0856 0.3946 0.809  4.5345]
[5.2165 0.414  0.832  4.9553]
[6.     0.4199 0.833  4.7247]
[6.     0.3959 0.7698 3.7405]
[6.     0.4067 0.92   5.0504]
[6.    0.372 0.817 3.   ]
[4.3575 0.48   0.8226 4.3296]
[6.     0.3875 0.916  5.9222]
[3.9957 0.4347 0.92   6.    ]
[3.2697 0.4398 0.92   6.    ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.     0.4465 0.8952 6.    ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.     0.3834 0.92   3.    ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
