[5.7113 0.4367 0.8001 3.6882]
[5.7113 0.4367 0.8001 3.6882]
[5.7113 0.4367 0.8001 3.6882]
[5.7113 0.4367 0.8001 3.6882]
[5.563  0.4248 0.7929 3.9828]
[5.563  0.4248 0.7929 3.9828]
[5.563  0.4248 0.7929 3.9828]
[5.563  0.4248 0.7929 3.9828]
[5.563  0.4248 0.7929 3.9828]
[5.563  0.4248 0.7929 3.9828]
[5.66   0.4347 0.7896 3.5036]
[5.6241 0.4322 0.7819 3.6849]
[5.9853 0.4365 0.7712 3.6279]
[5.8354 0.4023 0.7991 4.2673]
[5.4163 0.4386 0.7878 3.0373]
[4.9626 0.4244 0.8092 4.1683]
[6.     0.452  0.7754 4.1076]
[6.     0.4164 0.825  3.825 ]
[6.     0.3896 0.7609 4.9204]
[4.6149 0.4536 0.7658 4.7711]
[5.1786 0.4265 0.8537 6.    ]
[6.     0.4687 0.7596 4.2304]
[4.7735 0.4675 0.7649 4.4353]
[6.     0.4322 0.72   3.6958]
[4.1741 0.4398 0.8592 3.    ]
[6.     0.36   0.8414 3.    ]
[3.7188 0.48   0.92   6.    ]
[6.     0.3831 0.92   3.    ]
[5.1294 0.48   0.8609 3.    ]
[6.     0.4212 0.92   3.    ]
[6.   0.36 0.92 6.  ]
[3.     0.48   0.72   3.5388]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.     0.36   0.7523 6.    ]
[6.    0.408 0.92  3.   ]
[3.     0.4127 0.92   3.    ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.     0.36   0.72   3.4168]
[6.     0.48   0.7283 3.    ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
