[5.4982 0.4286 0.8022 3.7671]
[5.4982 0.4286 0.8022 3.7671]
[5.6791 0.4286 0.7928 3.7359]
[5.6791 0.4286 0.7928 3.7359]
[5.6791 0.4286 0.7928 3.7359]
[5.6791 0.4286 0.7928 3.7359]
[5.7657 0.424  0.7974 3.865 ]
[5.7657 0.424  0.7974 3.865 ]
[5.7657 0.424  0.7974 3.865 ]
[5.6643 0.4251 0.7974 3.972 ]
[6.     0.4232 0.8136 4.1955]
[6.     0.4214 0.7894 4.1115]
[5.5396 0.4269 0.7721 4.2047]
[5.8077 0.4223 0.8092 4.0872]
[5.9552 0.4153 0.8045 4.1072]
[5.9118 0.4366 0.7539 3.7625]
[6.     0.4401 0.7837 3.5288]
[5.3489 0.4321 0.8103 3.6502]
[5.0379 0.4536 0.7576 4.654 ]
[4.4686 0.413  0.7744 3.086 ]
[4.1142 0.4733 0.7779 3.5205]
[6.     0.48   0.8198 3.3536]
[6.     0.4026 0.72   3.2793]
[3.7262 0.48   0.72   3.    ]
[3.7666 0.48   0.72   5.2888]
[5.1196 0.48   0.72   3.    ]
[6.   0.36 0.92 6.  ]
[6.     0.36   0.8799 5.1047]
[4.7471 0.48   0.7472 3.    ]
[5.4032 0.36   0.72   5.3454]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.     0.4789 0.72   3.    ]
[3.3777 0.36   0.92   3.7094]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.9996 0.48   0.72   3.    ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
