[5.7134 0.4394 0.8005 3.4734]
[5.6784 0.4271 0.786  3.7941]
[5.6784 0.4271 0.786  3.7941]
[5.6784 0.4271 0.786  3.7941]
[5.6784 0.4271 0.786  3.7941]
[5.69   0.425  0.7877 3.9479]
[5.69   0.425  0.7877 3.9479]
[5.69   0.425  0.7877 3.9479]
[5.69   0.425  0.7877 3.9479]
[5.69   0.425  0.7877 3.9479]
[5.8459 0.4302 0.7923 3.8617]
[6.     0.4251 0.7999 3.7646]
[5.8811 0.4329 0.7675 3.6403]
[5.9227 0.4186 0.7776 3.7132]
[5.6966 0.4227 0.788  3.2127]
[6.     0.4236 0.8137 4.4183]
[5.3376 0.4418 0.8504 3.5362]
[6.     0.4425 0.8049 3.7267]
[6.     0.3917 0.7548 3.0725]
[5.0187 0.4616 0.8601 3.9042]
[5.6276 0.3618 0.8114 4.7873]
[5.5384 0.3678 0.7731 3.5683]
[4.9008 0.4458 0.92   3.    ]
[6.     0.3834 0.8589 3.6788]
[4.8495 0.4292 0.8941 3.    ]
[3.1047 0.4217 0.72   3.    ]
[5.8513 0.36   0.8441 3.4294]
[3.0415 0.48   0.8235 6.    ]
[6.     0.48   0.92   5.4886]
[3.     0.36   0.7948 3.    ]
[4.1612 0.48   0.72   6.    ]
[3.     0.48   0.72   3.9635]
[6.   0.48 0.72 3.  ]
[3.     0.4741 0.72   5.7814]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.     0.48   0.7684 3.    ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.2891 0.36   0.72   6.    ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
