[5.52   0.4363 0.8041 3.5576]
[5.2665 0.4362 0.8041 3.7294]
[5.5268 0.4313 0.7893 3.7461]
[5.5268 0.4313 0.7893 3.7461]
[5.2615 0.4305 0.7931 4.0087]
[5.2615 0.4305 0.7931 4.0087]
[5.2615 0.4305 0.7931 4.0087]
[5.2615 0.4305 0.7931 4.0087]
[5.2615 0.4305 0.7931 4.0087]
[5.2615 0.4305 0.7931 4.0087]
[5.9107 0.4332 0.7802 3.6195]
[5.9129 0.4311 0.7866 3.7203]
[5.7361 0.4252 0.7985 3.5757]
[5.9732 0.4464 0.7931 3.8238]
[5.6202 0.4323 0.8332 3.6482]
[5.7317 0.4269 0.7598 3.4739]
[5.857  0.4441 0.7587 3.6222]
[5.9983 0.4344 0.8342 3.2105]
[6.     0.3996 0.7523 3.3311]
[5.9688 0.4252 0.8575 4.7976]
[5.9687 0.4625 0.7662 3.    ]
[4.476  0.36   0.8422 4.9136]
[6.     0.4619 0.72   4.7666]
[6.     0.4679 0.7282 3.    ]
[5.4579 0.4039 0.72   3.    ]
[6.     0.4038 0.7857 6.    ]
[5.6925 0.3688 0.92   3.    ]
[6.     0.36   0.7244 3.    ]
[6.     0.4761 0.8457 3.6822]
[5.7221 0.48   0.72   3.    ]
[4.9786 0.3912 0.92   3.4547]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.    0.426 0.92  6.   ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.     0.48   0.72   5.3548]
[6.   0.36 0.72 6.  ]
[3.     0.4059 0.72   3.    ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
