[5.129  0.436  0.8156 3.5791]
[5.4109 0.4316 0.7879 3.7681]
[5.4109 0.4316 0.7879 3.7681]
[5.4109 0.4316 0.7879 3.7681]
[5.7499 0.4261 0.7965 3.8327]
[5.7499 0.4261 0.7965 3.8327]
[5.7499 0.4261 0.7965 3.8327]
[5.7499 0.4261 0.7965 3.8327]
[5.7499 0.4261 0.7965 3.8327]
[5.7499 0.4261 0.7965 3.8327]
[5.8107 0.4257 0.8032 3.6571]
[5.688  0.414  0.7875 3.6843]
[6.     0.4261 0.798  3.8901]
[5.7568 0.4254 0.7714 4.3227]
[5.8415 0.43   0.7602 3.8186]
[5.8048 0.4308 0.7372 3.5733]
[6.     0.4461 0.7696 3.0516]
[4.9658 0.4366 0.7813 4.073 ]
[5.032  0.4637 0.8184 4.3761]
[5.2849 0.448  0.7554 4.0135]
[6.     0.4376 0.7866 3.    ]
[6.     0.4555 0.7999 3.7901]
[5.2893 0.4603 0.8236 3.8723]
[5.9896 0.4423 0.8255 3.    ]
[6.     0.4546 0.821  4.6882]
[5.7991 0.36   0.9187 3.9871]
[6.     0.3947 0.72   3.    ]
[4.5887 0.3623 0.8223 3.3001]
[3.7259 0.48   0.8298 3.    ]
[4.6203 0.3775 0.92   6.    ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[5.0292 0.48   0.92   6.    ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.     0.4592 0.92   6.    ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.0516 0.36   0.92   3.    ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
