[5.6427 0.4443 0.8307 3.8728]
[5.4495 0.4274 0.8106 3.8644]
[5.4495 0.4274 0.8106 3.8644]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.3861 0.4287 0.7873 4.0199]
[5.7253 0.4185 0.7671 4.043 ]
[5.2267 0.4333 0.7993 3.7071]
[5.6737 0.434  0.7939 3.9176]
[6.     0.4364 0.7323 3.9894]
[6.     0.4392 0.7751 4.1763]
[5.1175 0.4515 0.7546 4.126 ]
[5.8686 0.4311 0.7715 3.6578]
[5.0017 0.4247 0.7873 3.    ]
[5.8129 0.446  0.7215 5.8089]
[5.3264 0.42   0.7476 3.1811]
[5.6409 0.3926 0.8384 3.5389]
[5.1071 0.48   0.8221 4.9412]
[6.     0.4087 0.7902 5.5685]
[6.     0.4455 0.72   3.    ]
[6.     0.3776 0.72   5.8445]
[5.6004 0.3952 0.92   3.    ]
[6.     0.48   0.8991 3.5429]
[6.     0.36   0.9134 6.    ]
[6.     0.4423 0.92   3.    ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[4.4724 0.48   0.92   3.    ]
[3.   0.48 0.72 3.  ]
[3.     0.4064 0.8639 6.    ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
