[5.5303 0.4373 0.814  3.7559]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.7296 0.4257 0.7811 3.6607]
[5.9851 0.4302 0.7781 3.7466]
[6.     0.4273 0.7785 3.5791]
[5.89   0.4199 0.7881 3.7873]
[6.     0.4127 0.8117 3.9799]
[5.709  0.4311 0.7803 3.8086]
[5.6203 0.4125 0.8013 3.5965]
[6.     0.4046 0.7632 3.8438]
[6.     0.4185 0.7596 4.3966]
[5.9186 0.4192 0.8462 3.5194]
[5.0416 0.422  0.7224 3.0367]
[5.0311 0.4371 0.8247 4.6891]
[5.7641 0.4604 0.8771 3.    ]
[6.     0.36   0.92   3.9379]
[6.     0.3915 0.8541 5.3259]
[6.     0.48   0.92   5.5014]
[6.     0.469  0.8229 5.2614]
[6.   0.36 0.72 6.  ]
[3.     0.48   0.8898 3.    ]
[6.   0.36 0.72 3.  ]
[3.     0.4141 0.72   3.    ]
[6.    0.472 0.72  6.   ]
[6.     0.4772 0.92   3.    ]
[6.     0.48   0.92   3.5622]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
