[5.5012 0.432  0.8021 3.8032]
[5.7091, 0.4294, 0.8186, 3.7323]
[5.796, 0.4294, 0.8063, 3.6727]
[5.6865, 0.432, 0.7993, 3.7357]
[5.355, 0.4284, 0.8075, 3.9987]
[5.4881, 0.4342, 0.7993, 3.6727]
[5.3245, 0.4282, 0.7993, 3.8733]
[5.7814, 0.4294, 0.801, 3.6762]
[5.6911, 0.4294, 0.801, 3.7813]
[5.5832, 0.4306, 0.8017, 3.9987]
[5.6911, 0.4294, 0.7842, 3.8346]
[5.6631, 0.4294, 0.8011, 3.8346]
[5.6857, 0.4296, 0.7998, 3.6723]
[5.6811, 0.4296, 0.7936, 3.7357]
[5.5832, 0.4296, 0.7993, 3.8173]
[5.9352 0.4283 0.781  4.0906]
[5.7187, 0.4274, 0.7689, 3.8298]
[3.0795, 0.4256, 0.7919, 3.6831]
[5.7083, 0.4235, 0.7974, 3.967]
[5.7862, 0.4204, 0.7828, 3.8298]
[5.4363 0.4202 0.7966 3.9421]
[3.2362 0.4202 0.8004 3.8273]
[5.6171, 0.4175, 0.7602, 4.1301]
[5.6447, 0.4247, 0.8, 4.0149]
[5.7981, 0.4279, 0.7905, 4.0149]
[5.6466, 0.4258, 0.7993, 3.8212]
[5.5279, 0.4247, 0.8, 3.9949]
[5.8056 0.4198 0.798  4.3662]
[5.6354, 0.4258, 0.7765, 4.1967]
[5.8983, 0.4209, 0.7997, 4.3495]
[5.6443, 0.4175, 0.7816, 3.8857]
[5.9486, 0.4175, 0.7816, 4.2081]
[5.6014, 0.4209, 0.7846, 4.2843]
[5.5787, 0.4233, 0.7711, 4.2843]
[5.5787, 0.4243, 0.7959, 4.0534]
[5.7123, 0.4243, 0.7782, 3.932]
[5.6014, 0.4209, 0.7959, 4.1831]
[3.0784 0.409  0.7679 4.4138]
[5.9517, 0.4086, 0.7775, 4.5389]
[5.9756, 0.4038, 0.7839, 4.7496]
[5.9939, 0.415, 0.7643, 4.4744]
[5.9898 0.4114 0.7715 4.5837]
[3.0261, 0.4158, 0.7545, 4.1232]
[5.9229, 0.4077, 0.7724, 4.5808]
[5.9292, 0.4237, 0.7721, 4.6696]
[3.0919 0.4078 0.7715 4.469 ]
[3.1187 0.4068 0.7886 4.6312]
[5.9011 0.4102 0.7499 4.6428]
[3.344  0.4193 0.7594 4.1573]
[3.1694 0.3972 0.7324 4.4318]
[3.2997 0.407  0.7783 4.3373]
[3.3314 0.387  0.8067 4.2522]
[5.1782 0.3889 0.7343 4.6913]
[4.8243 0.3997 0.9115 4.6017]
[5.9927 0.3873 0.8343 4.1534]
[5.8886 0.4522 0.9059 3.5385]
[4.8203 0.4798 0.7558 5.9357]
[5.5326 0.4039 0.8592 5.1364]
[4.0097 0.429  0.8637 4.141 ]
[5.556  0.4509 0.7541 4.9843]
[3.7807 0.4416 0.8375 5.2992]
[3.6912 0.4304 0.8912 5.6983]
[5.9661 0.4524 0.7419 3.1933]
[4.0368 0.4029 0.7904 3.9916]
[3.6084 0.4123 0.8869 5.0691]
[3.7936 0.3976 0.7214 5.1034]
[3.302  0.392  0.8168 3.3033]
[4.4039 0.3736 0.8621 4.0684]
[3.7195 0.401  0.8385 5.6909]
[3.3994 0.3751 0.9138 3.151 ]
[3.5583 0.3828 0.8809 5.897 ]
[3.1821 0.3917 0.803  5.8635]
[3.99   0.4657 0.8059 3.5438]
[5.2201 0.3829 0.7272 5.173 ]
[5.8471 0.3828 0.8914 5.5825]
[4.7387 0.4729 0.851  3.7676]
[3.2175 0.442  0.7979 5.815 ]
[5.8212 0.4277 0.7661 4.3718]
[3.3941 0.3917 0.8342 5.7187]
[3.7382 0.3923 0.7761 4.4492]
[5.1367 0.3871 0.7813 4.7375]
[3.2637 0.376  0.7854 3.3724]
[4.1474 0.4133 0.9157 3.9894]
[5.8478 0.4279 0.8164 5.8607]
[4.0483 0.4215 0.8522 3.7353]
[3.8619 0.4744 0.8112 3.7949]
[4.9833 0.3711 0.9168 4.4292]
[5.1861 0.3827 0.7655 5.0407]
[4.4667 0.3616 0.7625 4.673 ]
[5.9586 0.4245 0.7838 5.1712]
[3.684  0.3838 0.7846 4.1832]
[4.7968 0.3925 0.9045 5.1774]
[3.2716 0.3872 0.8519 4.3667]
[4.6409 0.3988 0.8146 3.827 ]
[4.7974 0.4636 0.8044 4.5361]
[5.0192 0.4262 0.8712 3.3279]
[4.6226 0.4091 0.7883 3.448 ]
[3.2444 0.3971 0.9168 3.5339]
[3.1741 0.4649 0.829  4.856 ]
[3.9059 0.4477 0.865  4.1833]
