[5.7727 0.433  0.801  3.4016]
[5.585, 0.4265, 0.7952, 3.7034]
[5.6585, 0.432, 0.8055, 3.7907]
[5.355, 0.4331, 0.8075, 3.7357]
[5.6585, 0.43, 0.7993, 3.6727]
[5.552, 0.4284, 0.8001, 3.6727]
[5.6868, 0.4247, 0.7993, 3.6723]
[5.6911, 0.426, 0.8017, 3.6837]
[5.6661, 0.4277, 0.7823, 3.8233]
[5.8554, 0.4294, 0.7888, 3.6727]
[5.6655, 0.4294, 0.7998, 3.6723]
[5.6655, 0.4294, 0.7898, 3.7905]
[5.6811, 0.4206, 0.7993, 3.946]
[5.7882, 0.4294, 0.7835, 3.8173]
[5.8334, 0.4294, 0.7842, 3.6723]
[5.7139 0.4182 0.7909 4.1587]
[5.7646, 0.4253, 0.7706, 3.9561]
[5.8706, 0.4293, 0.7689, 3.8532]
[5.663, 0.4293, 0.7853, 3.6233]
[5.7014, 0.4293, 0.7853, 4.0577]
[5.9342 0.4325 0.7945 3.8329]
[5.6848 0.4284 0.7915 3.8212]
[5.3313, 0.4316, 0.7735, 4.3216]
[5.6466, 0.4221, 0.7905, 4.1817]
[5.3313, 0.4203, 0.7905, 4.1301]
[5.6848, 0.4264, 0.8, 3.9949]
[5.6466, 0.4221, 0.7999, 4.0184]
[5.6157 0.4144 0.7962 4.2669]
[5.3354, 0.4218, 0.7956, 4.4981]
[5.8807, 0.4171, 0.775, 4.0534]
[5.8005, 0.4277, 0.7931, 3.932]
[5.606, 0.4209, 0.7854, 4.1063]
[5.6014, 0.4209, 0.7797, 4.4228]
[5.7487, 0.4191, 0.7931, 4.0667]
[5.6014, 0.4243, 0.7748, 4.1831]
[5.4358, 0.4277, 0.7959, 4.3495]
[5.9486, 0.4244, 0.7701, 4.3495]
[3.1064 0.4138 0.7825 4.4621]
[5.8252, 0.4132, 0.7653, 4.4685]
[5.9935, 0.4038, 0.7547, 4.7496]
[5.843, 0.4038, 0.7839, 4.7496]
[5.7089 0.4148 0.7615 4.4325]
[5.9639, 0.4237, 0.7555, 4.3736]
[5.7956, 0.4158, 0.7545, 4.4944]
[5.9232, 0.4132, 0.7474, 4.6138]
[5.8384 0.4111 0.7773 4.5521]
[3.1884 0.4094 0.7735 4.802 ]
[3.2228 0.406  0.746  4.5103]
[5.9836 0.4105 0.7742 4.2883]
[3.576  0.418  0.7741 4.8428]
[5.3908 0.4457 0.7499 5.3554]
[5.558  0.4179 0.8071 4.0981]
[4.0355 0.4374 0.7493 5.0022]
[4.2314 0.4648 0.7916 5.0864]
[4.2354 0.3853 0.8435 5.0467]
[5.3317 0.4149 0.8675 4.052 ]
[3.2686 0.3978 0.8944 4.9055]
[5.9081 0.3726 0.725  3.1692]
[3.5315 0.3697 0.7663 4.038 ]
[5.9743 0.4413 0.7325 5.0323]
[5.4001 0.4322 0.7888 5.6114]
[5.0314 0.4239 0.8701 5.5274]
[4.5957 0.3671 0.7435 3.7578]
[4.3872 0.4117 0.8643 3.6691]
[4.9585 0.3963 0.7938 3.2352]
[5.3409 0.4573 0.7886 4.0174]
[5.9781 0.3858 0.7404 4.3024]
[3.5915 0.4595 0.7683 4.7643]
[4.2104 0.3766 0.7783 4.0615]
[3.4738 0.402  0.7761 5.3533]
[3.4885 0.4513 0.8038 4.81  ]
[4.4517 0.4109 0.788  5.4979]
[4.1869 0.4029 0.751  5.7372]
[3.5898 0.4559 0.8891 5.7035]
[3.5453 0.4618 0.7814 3.4263]
[4.5498 0.4171 0.7253 3.2918]
[4.9012 0.4122 0.7886 5.3765]
[3.9201 0.3786 0.8556 3.8431]
[5.348  0.3866 0.8132 5.1697]
[4.9263 0.3873 0.8273 3.4715]
[3.9303 0.4576 0.8098 5.206 ]
[5.3384 0.454  0.769  3.5998]
[5.1029 0.4163 0.8493 4.1797]
[3.2927 0.4488 0.7911 5.0365]
[5.2551 0.4122 0.9103 4.5643]
[3.0699 0.3649 0.7839 4.6302]
[3.4807 0.431  0.8381 5.6423]
[4.1888 0.4296 0.8512 5.7132]
[5.273  0.4378 0.7347 3.765 ]
[4.9073 0.4513 0.859  4.8911]
[4.956  0.4142 0.7761 5.4301]
[4.2157 0.407  0.7401 3.5193]
[4.1929 0.4491 0.8851 4.0436]
[5.4526 0.3917 0.8719 3.0454]
[4.7062 0.4045 0.8268 4.8711]
[5.4842 0.4008 0.8628 3.2189]
[3.972  0.4718 0.7225 3.5714]
[5.7103 0.4572 0.9149 5.8266]
[3.7855 0.47   0.8363 5.2175]
[4.1063 0.4636 0.7736 3.9104]
