[5.4195 0.43   0.814  3.7463]
[5.5071, 0.4311, 0.7988, 3.6598]
[5.6655, 0.4316, 0.7978, 3.7064]
[5.6537, 0.433, 0.8014, 3.4016]
[5.2472, 0.4245, 0.8001, 3.7036]
[5.552, 0.4264, 0.814, 3.6727]
[5.5832, 0.4294, 0.8017, 3.6727]
[5.7979, 0.4294, 0.794, 3.8733]
[5.552, 0.4294, 0.7923, 3.6727]
[5.7517, 0.4294, 0.7998, 3.6723]
[5.819, 0.4284, 0.7994, 3.7357]
[5.7475, 0.4294, 0.7898, 3.8774]
[5.5832, 0.4288, 0.7842, 3.9614]
[5.6857, 0.4288, 0.7842, 3.9614]
[5.6811, 0.4301, 0.7998, 3.6723]
[5.7717 0.4216 0.7819 3.7111]
[5.5274, 0.417, 0.7753, 3.9956]
[5.7187, 0.4274, 0.7689, 3.7545]
[5.4437, 0.4307, 0.7863, 3.7233]
[5.4437, 0.4307, 0.7993, 3.8532]
[5.6535 0.4273 0.7837 3.7883]
[5.7217 0.4294 0.8051 4.0833]
[5.7646, 0.4214, 0.7735, 4.3216]
[5.3313, 0.4265, 0.7735, 4.1301]
[5.8706, 0.4294, 0.7948, 3.8645]
[5.6886, 0.4279, 0.779, 4.026]
[5.6466, 0.4221, 0.7941, 3.9962]
[5.8983 0.413  0.7998 4.1741]
[5.6443, 0.4174, 0.7765, 4.5266]
[5.6946, 0.4247, 0.7931, 4.2004]
[5.606, 0.4291, 0.7904, 4.2004]
[5.5787, 0.4221, 0.7863, 4.1461]
[5.9486, 0.4206, 0.7959, 4.2843]
[5.4358, 0.4178, 0.7854, 4.2081]
[5.6014, 0.4175, 0.7765, 4.4744]
[5.4358, 0.4156, 0.7959, 4.0534]
[5.9534, 0.4213, 0.7854, 4.2081]
[3.2474 0.4169 0.7754 4.3679]
[5.9401, 0.4093, 0.7723, 4.4357]
[5.9295, 0.4097, 0.7772, 4.2874]
[5.7702, 0.4148, 0.7839, 4.5]
[3.0041 0.4134 0.7743 4.4911]
[5.9232, 0.412, 0.7806, 4.6138]
[5.9228, 0.412, 0.7628, 4.4357]
[5.8824, 0.4161, 0.7806, 4.4036]
[3.2185 0.4082 0.7709 4.3059]
[5.9956 0.415  0.7861 4.8147]
[3.037  0.4122 0.7816 4.5889]
[5.6974 0.4044 0.7832 4.6956]
[5.8111 0.404  0.7895 4.1928]
[3.447  0.4028 0.7696 4.2165]
[5.7043 0.4169 0.7825 5.0912]
[3.4642 0.3998 0.8922 4.3009]
[4.6671 0.4512 0.7259 5.7107]
[4.1707 0.3628 0.9042 5.18  ]
[3.0401 0.361  0.871  4.7258]
[3.3725 0.4345 0.8697 4.8467]
[5.0722 0.4592 0.7321 4.6459]
[4.868  0.4476 0.9138 4.8854]
[5.9277 0.3791 0.7559 3.5489]
[4.9032 0.4225 0.872  3.8892]
[4.114  0.3959 0.7992 5.7593]
[4.9016 0.3896 0.7218 5.1358]
[5.4827 0.4678 0.7258 5.6357]
[3.6687 0.449  0.7533 3.6147]
[3.1309 0.479  0.8211 5.124 ]
[5.5268 0.4253 0.817  4.137 ]
[4.2147 0.4124 0.8083 5.7834]
[5.658  0.4177 0.7271 4.7317]
[5.6845 0.4207 0.808  4.2235]
[4.2432 0.4574 0.7305 4.6172]
[3.8041 0.3847 0.87   3.8857]
[4.4268 0.4768 0.8802 4.4131]
[3.5431 0.4025 0.7801 5.6289]
[5.1414 0.3874 0.8232 3.6356]
[5.75   0.4458 0.8969 4.3112]
[4.8219 0.388  0.7675 4.3955]
[4.2337 0.3907 0.8563 5.6402]
[4.5343 0.4253 0.8951 5.288 ]
[3.2308 0.4794 0.8487 5.8836]
[5.5413 0.4792 0.7779 3.8167]
[5.9242 0.3696 0.7945 5.7394]
[3.3706 0.4048 0.7493 4.7659]
[3.1051 0.3942 0.8737 3.2776]
[5.6528 0.4388 0.8646 3.2858]
[4.8144 0.4366 0.8546 4.8377]
[3.3725 0.4021 0.831  4.3212]
[3.8908 0.405  0.8416 3.2339]
[5.1953 0.4224 0.8768 5.7045]
[5.4338 0.3802 0.8195 3.0543]
[4.9526 0.4178 0.9164 4.9002]
[4.2983 0.3799 0.8021 3.4897]
[4.5664 0.3811 0.8133 5.618 ]
[4.9301 0.4099 0.7937 4.5674]
[3.4572 0.4797 0.8924 3.9371]
[5.2015 0.4259 0.7777 5.6803]
[4.8463 0.4741 0.9133 5.5661]
[3.8132 0.4541 0.73   3.9228]
[3.7569 0.4116 0.9013 5.3019]
[5.9387 0.4654 0.7644 3.9975]
