[5.3245 0.4302 0.8076 3.5525]
[5.412, 0.432, 0.7993, 3.7357]
[5.1244, 0.4329, 0.8066, 3.5491]
[5.7796, 0.4294, 0.814, 3.6727]
[5.4881, 0.4324, 0.8026, 3.6727]
[5.8619, 0.4294, 0.7971, 3.9032]
[5.3245, 0.4323, 0.7994, 3.8113]
[5.6655, 0.428, 0.7872, 3.6723]
[5.6811, 0.4323, 0.7994, 3.8113]
[5.355, 0.4294, 0.7898, 3.8173]
[5.6857, 0.4296, 0.7998, 3.6723]
[5.6857, 0.4296, 0.7998, 3.6723]
[5.6811, 0.4256, 0.7936, 3.8173]
[5.6857, 0.4294, 0.7744, 3.7357]
[5.6857, 0.4295, 0.7998, 3.8173]
[5.7014 0.4348 0.7919 3.6233]
[5.4437, 0.4307, 0.7746, 3.7176]
[5.7511, 0.4279, 0.7708, 3.967]
[5.7511, 0.4286, 0.7708, 3.967]
[5.7459, 0.4312, 0.7865, 3.7545]
[5.6351 0.4162 0.7782 4.0156]
[5.7476 0.417  0.7925 3.9715]
[5.797, 0.4334, 0.7658, 4.2893]
[5.6605, 0.4265, 0.7905, 4.3216]
[5.7166, 0.4239, 0.7941, 4.3216]
[5.6466, 0.4221, 0.8, 3.8645]
[5.6589, 0.4267, 0.7735, 3.8645]
[5.598  0.4208 0.7956 4.1995]
[5.606, 0.4291, 0.7799, 3.8857]
[5.8005, 0.4277, 0.7931, 3.932]
[5.8292, 0.4258, 0.7799, 4.4228]
[5.9756, 0.4206, 0.7959, 4.1831]
[5.4358, 0.4244, 0.7931, 4.4228]
[5.916, 0.4243, 0.7959, 4.0534]
[5.9534, 0.4213, 0.7854, 4.2081]
[5.8579, 0.4243, 0.7748, 4.1831]
[5.8579, 0.4243, 0.7748, 4.4064]
[3.0472 0.4101 0.7757 4.4893]
[5.9756, 0.4038, 0.7835, 4.7496]
[5.9295, 0.4148, 0.7772, 4.7496]
[5.8252, 0.4144, 0.7653, 4.3098]
[5.9529 0.4081 0.7763 4.1929]
[3.0562, 0.419, 0.7767, 4.5831]
[5.9232, 0.4132, 0.7548, 4.4812]
[5.9232, 0.412, 0.7624, 4.7173]
[5.9483 0.4062 0.7674 4.5349]
[5.928  0.4185 0.7813 4.7878]
[5.6925 0.4088 0.7709 4.5857]
[5.673  0.4252 0.7794 4.8891]
[3.5825 0.4148 0.7789 4.0902]
[3.2146 0.4017 0.7375 4.6593]
[3.0075 0.3914 0.7705 4.5358]
[5.9844 0.4141 0.7506 4.1153]
[3.959  0.443  0.9077 3.7456]
[5.8719 0.3774 0.7396 4.0096]
[4.021  0.4782 0.7903 4.3805]
[5.3671 0.4556 0.8129 3.8006]
[5.0713 0.4643 0.9086 3.3154]
[4.143  0.4594 0.7456 3.8549]
[3.2268 0.4085 0.9126 4.1414]
[5.397  0.3899 0.8578 3.1196]
[4.8272 0.4357 0.7795 3.2317]
[5.3872 0.4134 0.8041 3.7456]
[3.4779 0.3641 0.7755 5.0882]
[3.3325 0.4722 0.8902 3.1989]
[3.9784 0.413  0.7962 4.7982]
[5.0772 0.3969 0.8504 4.2977]
[3.8718 0.4531 0.8125 4.6955]
[5.6601 0.4139 0.855  4.8748]
[3.6248 0.4376 0.7717 5.9328]
[3.4901 0.3882 0.8739 3.3892]
[3.1955 0.4505 0.9029 3.0264]
[4.1275 0.4297 0.829  4.3347]
[5.9388 0.4512 0.9082 3.9172]
[4.3159 0.3933 0.8256 3.3151]
[3.2267 0.4621 0.9065 3.7855]
[3.6772 0.381  0.9029 4.548 ]
[5.3117 0.4659 0.7851 3.9154]
[4.1221 0.4754 0.862  3.0107]
[4.4029 0.4508 0.8538 3.3418]
[4.0192 0.3722 0.7631 3.6834]
[5.2223 0.4432 0.7644 3.1986]
[3.902  0.409  0.8498 5.3242]
[4.2669 0.3719 0.8225 4.3115]
[4.8972 0.4063 0.8381 3.688 ]
[5.1037 0.3626 0.8107 5.4063]
[4.7514 0.3871 0.7938 5.5707]
[3.7783 0.3711 0.8326 3.6563]
[5.4175 0.474  0.8243 4.8957]
[4.878  0.4784 0.7366 5.7972]
[4.0082 0.4535 0.881  3.1601]
[3.1935 0.4668 0.7522 4.867 ]
[4.2899 0.4646 0.8568 4.4714]
[5.3215 0.3967 0.7441 3.9981]
[3.7175 0.456  0.8139 5.4   ]
[3.9277 0.454  0.8832 5.2071]
[3.7329 0.473  0.7275 3.2396]
[5.4978 0.4235 0.7525 5.5603]
[4.7498 0.4506 0.751  3.4508]
[3.15   0.4038 0.7848 5.3072]
