[5.585  0.432  0.7993 3.7034]
[5.6456, 0.4308, 0.7941, 3.7978]
[5.6852, 0.4329, 0.8055, 3.7907]
[5.585, 0.432, 0.8067, 3.7226]
[5.6655, 0.4264, 0.814, 3.6837]
[5.6911, 0.4237, 0.814, 3.6837]
[5.6585, 0.4294, 0.8075, 3.6727]
[5.6655, 0.428, 0.7923, 3.8233]
[5.7814, 0.4309, 0.801, 3.8733]
[5.6661, 0.4294, 0.7994, 3.8233]
[5.8554, 0.4294, 0.7898, 3.6727]
[5.6661, 0.4294, 0.7842, 3.8346]
[5.552, 0.4301, 0.7842, 3.6723]
[5.7882, 0.4294, 0.7898, 3.7905]
[5.6857, 0.4209, 0.801, 3.7647]
[5.7187 0.4276 0.7756 3.7852]
[5.6916, 0.4293, 0.785, 3.7257]
[5.7229, 0.4278, 0.7912, 3.7484]
[5.6916, 0.4279, 0.7919, 3.967]
[5.6505, 0.4276, 0.7756, 3.7852]
[3.0148 0.4288 0.7826 3.9793]
[5.2924 0.4115 0.8103 3.7985]
[5.7981, 0.4239, 0.805, 4.0149]
[5.7981, 0.4239, 0.7941, 3.9101]
[5.7441, 0.4294, 0.7811, 4.1412]
[5.7033, 0.4258, 0.805, 3.8645]
[5.6848, 0.4258, 0.8, 3.8555]
[5.6935 0.4247 0.7839 4.1916]
[5.6443, 0.4277, 0.7799, 4.0879]
[5.6354, 0.4258, 0.7765, 4.1967]
[5.6443, 0.4234, 0.798, 3.917]
[5.6014, 0.4209, 0.798, 4.3495]
[5.5787, 0.4209, 0.7854, 4.0534]
[5.5787, 0.4243, 0.7959, 4.1831]
[5.9534, 0.4175, 0.7765, 4.2166]
[5.9236, 0.4175, 0.77, 4.2166]
[5.9486, 0.4243, 0.7723, 4.2843]
[3.0262 0.4071 0.7658 4.3188]
[3.1615, 0.4176, 0.7824, 4.2264]
[5.8252, 0.4184, 0.7765, 4.7844]
[5.9741, 0.4117, 0.7765, 4.7496]
[3.1416 0.415  0.7638 4.7229]
[3.1393, 0.4099, 0.7678, 4.5228]
[5.7956, 0.4158, 0.7545, 4.4944]
[5.9639, 0.4118, 0.7743, 4.446]
[5.6045 0.4076 0.7765 5.0086]
[3.0975 0.3992 0.7714 4.2565]
[3.1776 0.4041 0.7432 4.463 ]
[5.9058 0.4085 0.7632 4.9808]
[3.4099 0.4066 0.7789 4.6012]
[3.6195 0.4073 0.7873 4.5968]
[5.9555 0.3633 0.9157 4.5909]
[5.7049 0.423  0.7779 3.9457]
[5.8855 0.4457 0.7992 4.7446]
[3.4242 0.3686 0.8182 4.4411]
[3.1768 0.4634 0.8883 4.0446]
[4.2235 0.4438 0.7575 4.5883]
[3.7845 0.4122 0.7918 3.3242]
[4.3951 0.3612 0.7848 5.537 ]
[5.0099 0.4555 0.8444 3.9729]
[4.562  0.4769 0.8212 5.9829]
[5.4501 0.4218 0.7871 5.2535]
[5.5187 0.4603 0.7388 5.65  ]
[4.2348 0.3769 0.7781 4.8486]
[4.3967 0.3892 0.7793 3.9832]
[4.7352 0.3602 0.8745 4.1769]
[5.1951 0.4287 0.7568 5.808 ]
[4.3416 0.4041 0.7991 4.9679]
[5.9565 0.3997 0.7953 4.6172]
[4.1931 0.4544 0.8361 3.6466]
[5.1879 0.4283 0.8014 5.1546]
[5.4079 0.4017 0.8671 3.9805]
[5.8538 0.4194 0.8345 3.2631]
[3.6665 0.4689 0.7483 5.6371]
[3.5166 0.4451 0.9024 5.8135]
[4.7385 0.4156 0.7449 5.5474]
[5.0771 0.4527 0.8902 5.2336]
[5.6585 0.4158 0.8577 4.1155]
[4.7852 0.4051 0.7296 4.2958]
[5.3932 0.4085 0.9111 3.9256]
[4.3225 0.4455 0.8095 5.0248]
[3.3031 0.4794 0.8099 3.5356]
[5.8589 0.4044 0.8647 4.6969]
[5.6241 0.447  0.8783 3.0137]
[4.652  0.3878 0.7296 4.667 ]
[3.7512 0.3863 0.7224 3.4984]
[4.7112 0.3775 0.8438 4.9585]
[3.6289 0.4219 0.8636 5.1806]
[4.6813 0.4122 0.7615 5.4272]
[3.5741 0.3837 0.8358 3.13  ]
[5.2703 0.4086 0.9082 4.3217]
[3.6414 0.4267 0.8969 3.4829]
[3.0415 0.4284 0.9088 4.1571]
[5.8805 0.4249 0.8917 3.1901]
[4.2651 0.3953 0.7352 5.8986]
[4.0238 0.4186 0.7988 4.8578]
[4.0182 0.4634 0.7536 4.4411]
[5.0533 0.3851 0.8422 3.552 ]
[3.3278 0.3689 0.7517 3.9521]
[3.0749 0.3632 0.7351 4.9861]
