[5.4683, 0.4331, 0.8055, 3.6837]
[5.6852, 0.4329, 0.8075, 3.5491]
[5.412, 0.4294, 0.8006, 3.7357]
[5.8117, 0.4377, 0.8186, 3.5491]
[5.585, 0.4242, 0.7994, 3.7549]
[5.3245, 0.4284, 0.8075, 3.9987]
[5.6911, 0.4294, 0.7993, 3.6727]
[5.6655, 0.4294, 0.7998, 3.6723]
[5.6911, 0.4294, 0.7998, 3.6811]
[5.3245, 0.428, 0.7998, 3.8733]
[5.6911, 0.4296, 0.7898, 3.8173]
[5.695, 0.4256, 0.7871, 3.8382]
[5.8143, 0.4256, 0.7898, 3.8173]
[5.6857, 0.4256, 0.7998, 3.7905]
[5.8952, 0.431, 0.801, 3.9506]
[5.7882 0.4256 0.7842 3.861 ]
[5.9031, 0.4307, 0.7746, 3.8041]
[5.7882, 0.4256, 0.7746, 3.8041]
[5.7187, 0.4286, 0.8002, 3.9191]
[5.7083, 0.427, 0.7974, 3.967]
[5.7646 0.4235 0.7912 3.9561]
[5.7646 0.4235 0.7912 3.9561]
[5.8706, 0.4284, 0.7915, 3.8212]
[5.6691, 0.4188, 0.7658, 3.8645]
[5.6886, 0.4279, 0.7905, 4.026]
[5.6447, 0.4197, 0.779, 4.0149]
[5.5571, 0.4154, 0.8, 4.1817]
[5.7106 0.4221 0.7905 4.1412]
[5.7951, 0.4174, 0.7725, 4.5962]
[5.6946, 0.4221, 0.7905, 4.3202]
[5.9486, 0.4175, 0.7846, 4.2843]
[5.6014, 0.4209, 0.7931, 4.4228]
[5.6443, 0.4243, 0.7959, 4.0534]
[5.6014, 0.422, 0.7748, 4.1831]
[5.4358, 0.4244, 0.7959, 4.0534]
[5.6014, 0.4231, 0.7959, 4.4414]
[5.4358, 0.4244, 0.7846, 4.3495]
[5.9756 0.4117 0.7765 4.4744]
[3.0409, 0.4058, 0.7779, 4.624]
[5.7897, 0.4028, 0.7748, 4.6685]
[5.9655, 0.4148, 0.7772, 4.3518]
[5.9621 0.4132 0.7716 4.4357]
[5.8603, 0.4134, 0.773, 4.4036]
[3.1747, 0.4123, 0.7721, 4.6696]
[5.9228, 0.4111, 0.7666, 4.6138]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
[5.9898 0.4114 0.7715 4.5837]
