[5.552  0.4337 0.8162 3.7195]
[5.7796, 0.4329, 0.8075, 3.5491]
[5.5752, 0.4284, 0.8223, 3.7471]
[5.7417, 0.4331, 0.814, 3.7907]
[5.4881, 0.4331, 0.801, 3.6727]
[5.796, 0.4377, 0.8031, 3.9572]
[5.552, 0.4294, 0.7988, 3.6727]
[5.6857, 0.4294, 0.7993, 3.6723]
[5.3245, 0.4294, 0.7998, 3.8733]
[5.7814, 0.4265, 0.7868, 3.6723]
[5.6911, 0.428, 0.7993, 3.8233]
[5.6811, 0.4256, 0.814, 3.8173]
[5.6655, 0.4294, 0.7898, 3.8173]
[5.6661, 0.4294, 0.7842, 3.6622]
[5.6337, 0.4301, 0.801, 3.6723]
[5.7789 0.4293 0.785  3.7257]
[3.0489, 0.4169, 0.7713, 3.9309]
[5.7343, 0.4353, 0.7884, 3.8532]
[5.7083, 0.4274, 0.7762, 3.7545]
[5.7187, 0.4276, 0.7842, 3.8532]
[5.8322 0.4155 0.793  3.9878]
[3.0911 0.4144 0.7903 3.8742]
[3.0911, 0.4144, 0.7903, 4.1106]
[5.6447, 0.4247, 0.805, 4.0149]
[5.3313, 0.4284, 0.7735, 3.8212]
[5.4909, 0.4239, 0.7811, 4.0149]
[5.6309, 0.4247, 0.7882, 3.9949]
[5.7596 0.422  0.7717 4.2638]
[5.9756, 0.4247, 0.7931, 4.2004]
[5.9239, 0.4221, 0.7997, 4.1029]
[5.606, 0.4181, 0.7836, 4.1029]
[5.9791, 0.4175, 0.7846, 4.2843]
[5.8005, 0.4209, 0.7757, 3.932]
[5.4358, 0.4209, 0.7689, 4.1831]
[5.9486, 0.4209, 0.7846, 4.2843]
[5.5787, 0.4175, 0.7846, 4.1831]
[5.6014, 0.4209, 0.7931, 4.1831]
[3.1615 0.4176 0.7824 4.2264]
[5.7266, 0.4025, 0.7783, 4.5]
[5.9275, 0.417, 0.7715, 4.3634]
[5.8651, 0.415, 0.7772, 4.4935]
[3.0562 0.419  0.7741 4.2108]
[5.8944, 0.4076, 0.7639, 4.2527]
[5.9232, 0.4123, 0.791, 4.6138]
[5.9639, 0.4118, 0.7769, 4.5837]
[5.8488 0.4107 0.7714 4.5267]
[3.0946 0.4129 0.769  4.9228]
[3.4302 0.4177 0.7409 4.5511]
[3.3757 0.4125 0.7989 4.265 ]
[5.8043 0.4027 0.7508 4.7758]
[3.3934 0.4272 0.7699 4.3472]
[5.9308 0.4324 0.9119 4.4235]
[3.2226 0.4111 0.7956 4.9075]
[5.9897 0.4084 0.7609 5.6397]
[5.1751 0.4232 0.775  4.5697]
[3.116  0.4413 0.8568 4.6214]
[3.3591 0.3867 0.7657 3.4428]
[4.3787 0.4433 0.8874 3.9249]
[5.8455 0.4654 0.8633 4.0274]
[3.2523 0.3875 0.7307 4.7566]
[3.188  0.3944 0.7663 5.5532]
[3.3935 0.3983 0.8415 3.9514]
[3.2301 0.3666 0.9171 5.8547]
[4.9425 0.3669 0.7977 5.5607]
[3.8831 0.4724 0.8039 4.6546]
[5.3083 0.4736 0.7217 4.382 ]
[5.5753 0.4493 0.8199 4.273 ]
[3.366  0.4769 0.7923 3.1691]
[3.465  0.3901 0.8608 4.7814]
[4.7439 0.4232 0.8998 5.1788]
[4.0565 0.3965 0.8531 4.3497]
[4.071  0.4711 0.8287 3.9033]
[4.4676 0.4737 0.7804 4.0691]
[4.0591 0.3887 0.8014 5.5583]
[4.1646 0.3743 0.8169 5.8324]
[5.1091 0.3818 0.7524 5.212 ]
[5.1727 0.4423 0.7552 4.1974]
[5.0014 0.374  0.7575 3.6323]
[4.9167 0.3982 0.8285 3.6564]
[4.6431 0.4527 0.8572 5.0755]
[4.6289 0.4327 0.7695 4.1091]
[4.0898 0.3804 0.732  4.8339]
[5.0622 0.3866 0.7332 4.2453]
[4.5372 0.3822 0.855  3.3086]
[4.1619 0.4301 0.7659 5.2062]
[4.3518 0.4715 0.7209 3.4403]
[4.8909 0.4719 0.8902 3.0909]
[5.0048 0.4657 0.7961 4.6219]
[3.8498 0.4707 0.8688 4.8444]
[5.5689 0.453  0.7352 5.0457]
[3.3937 0.434  0.8446 3.1438]
[3.99   0.4213 0.7751 4.7593]
[3.0464 0.3823 0.7803 3.1955]
[5.7096 0.363  0.7875 5.8134]
[4.8272 0.3674 0.8838 5.6179]
[4.2033 0.3685 0.7941 3.3603]
[5.0187 0.3849 0.8484 4.9662]
[3.01  0.406 0.793 3.198]
[3.2223 0.3959 0.8276 5.1781]
[4.8648 0.4531 0.8546 3.0092]
