[5.4856 0.429  0.7928 3.8599]
[5.5908 0.4206 0.7995 4.1179]
[5.6904 0.4216 0.7977 4.1254]
[5.6904 0.4216 0.7977 4.1254]
[5.7758 0.4158 0.7633 4.5077]
[5.9626 0.4127 0.7659 4.4817]
[5.9502 0.41   0.7797 4.554 ]
[5.9495 0.4139 0.7682 4.4849]
[5.9495 0.4139 0.7682 4.4849]
[5.9988 0.4134 0.7735 4.4207]
[5.9988 0.4134 0.7735 4.4207]
[5.9988 0.4134 0.7735 4.4207]
[5.9988 0.4134 0.7735 4.4207]
[5.9988 0.4134 0.7735 4.4207]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
[5.9985 0.4134 0.7724 4.3907]
