[5.3937 0.4373 0.8106 3.5753]
[5.3937 0.4373 0.8106 3.5753]
[5.7119 0.4353 0.7879 3.5541]
[5.7119 0.4353 0.7879 3.5541]
[5.7119 0.4353 0.7879 3.5541]
[5.7119 0.4353 0.7879 3.5541]
[5.7119 0.4353 0.7879 3.5541]
[5.7119 0.4353 0.7879 3.5541]
[5.4873 0.4255 0.8117 3.9195]
[5.4873 0.4255 0.8117 3.9195]
[5.8857 0.4121 0.7802 4.5408]
[5.8857 0.4121 0.7802 4.5408]
[5.8857 0.4121 0.7802 4.5408]
[5.9702 0.4142 0.7691 4.2948]
[6.     0.4148 0.7541 4.348 ]
[6.     0.4148 0.7534 4.6268]
[6.     0.4148 0.7534 4.6268]
[6.     0.4148 0.7534 4.6268]
[6.     0.4183 0.7611 4.5219]
[5.8624 0.4165 0.7682 4.5723]
[5.8462 0.4146 0.7844 4.4232]
[5.8742 0.4177 0.756  4.6069]
[5.8464 0.4127 0.785  4.0052]
[6.     0.4121 0.8022 4.2768]
[5.7958 0.4457 0.7606 4.5936]
[6.     0.4486 0.7779 4.1302]
[5.2023 0.4408 0.7872 3.    ]
[5.9168 0.4302 0.72   3.0132]
[5.4798 0.4018 0.789  4.9993]
[6.     0.4089 0.7464 3.8396]
[6.     0.4285 0.8499 4.7646]
[4.9557 0.384  0.72   3.    ]
[6.     0.3752 0.7243 5.3514]
[6.     0.36   0.7375 3.    ]
[3.     0.48   0.8209 3.    ]
[5.9346 0.4561 0.92   6.    ]
[6.     0.36   0.8569 6.    ]
[5.0059 0.36   0.92   6.    ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.38 0.72 6.  ]
[3.9952 0.36   0.72   5.7763]
[6.     0.36   0.9195 6.    ]
[6.     0.3732 0.72   3.    ]
[5.2383 0.48   0.92   3.    ]
[3.   0.36 0.72 6.  ]
[5.8738 0.48   0.72   6.    ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
