[5.2899 0.4212 0.8043 3.8734]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.2899 0.4316 0.8173 3.7687]
[5.9019 0.4102 0.7513 4.7553]
[5.9019 0.4102 0.7513 4.7553]
[5.9019 0.4102 0.7513 4.7553]
[5.9019 0.4102 0.7513 4.7553]
[5.9019 0.4102 0.7513 4.7553]
[5.7177 0.4079 0.7645 4.4208]
[6.     0.4138 0.802  4.7242]
[6.     0.4138 0.802  4.7242]
[6.     0.4064 0.7801 4.3048]
[6.     0.4064 0.7801 4.3048]
[5.97   0.4218 0.7855 4.5172]
[5.8845 0.4142 0.7754 4.5232]
[6.     0.4113 0.7871 4.3187]
[5.9607 0.413  0.7843 4.6025]
[5.6894 0.4225 0.7765 4.5836]
[5.0285 0.4076 0.7535 3.8558]
[5.5849 0.3992 0.7758 4.0019]
[6.     0.4265 0.72   4.3714]
[6.     0.4152 0.7646 3.8235]
[4.8042 0.4715 0.8605 4.0452]
[5.686  0.44   0.7498 5.0702]
[6.   0.48 0.72 3.  ]
[6.     0.4456 0.72   3.    ]
[4.7346 0.3959 0.92   5.5056]
[4.9677 0.48   0.7568 3.    ]
[3.0213 0.48   0.7525 3.    ]
[3.     0.36   0.9033 4.5259]
[6.   0.36 0.92 6.  ]
[6.     0.48   0.7397 6.    ]
[4.358  0.4576 0.92   6.    ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.     0.3833 0.72   6.    ]
[3.     0.3613 0.92   3.    ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.    0.377 0.92  6.   ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.     0.4701 0.92   3.    ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
