[5.4781 0.4332 0.8079 3.6187]
[5.4781 0.4332 0.8079 3.6187]
[5.4781 0.4332 0.8079 3.6187]
[5.4781 0.4332 0.8079 3.6187]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[5.7758 0.4158 0.7633 4.5077]
[6.     0.414  0.7702 4.3313]
[6.     0.4172 0.7922 4.4635]
[6.     0.4172 0.7922 4.4635]
[6.     0.4105 0.7686 4.5611]
[6.     0.4105 0.7686 4.5611]
[5.9821 0.4135 0.7607 4.2587]
[5.9288 0.4307 0.7658 4.3607]
[6.     0.4049 0.7759 4.3294]
[6.     0.4055 0.7826 4.3222]
[5.8803 0.4237 0.7647 4.5115]
[6.     0.4091 0.7564 4.4755]
[6.     0.4155 0.7611 4.8726]
[6.     0.411  0.7601 5.1381]
[6.     0.4434 0.8323 3.7583]
[5.4728 0.4104 0.842  4.3211]
[5.2587 0.3867 0.72   4.2052]
[5.7991 0.4721 0.72   4.0737]
[5.8117 0.48   0.72   3.    ]
[6.    0.36  0.798 6.   ]
[5.9939 0.3621 0.72   3.    ]
[5.4384 0.48   0.92   4.3369]
[6.     0.3848 0.72   3.    ]
[6.     0.48   0.8508 6.    ]
[6.     0.36   0.72   4.5557]
[6.     0.4242 0.72   5.3977]
[3.7844 0.48   0.8773 3.    ]
[6.     0.3678 0.92   3.    ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.     0.4794 0.72   6.    ]
[6.     0.36   0.72   3.6723]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
