[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.467  0.4285 0.8012 3.8375]
[5.9283 0.4174 0.7876 4.2014]
[5.9283 0.4174 0.7876 4.2014]
[5.9283 0.4174 0.7876 4.2014]
[5.9131 0.4034 0.7683 4.0751]
[6.     0.3946 0.8022 4.4889]
[5.7629 0.4158 0.7708 4.4508]
[5.7629 0.4158 0.7708 4.4508]
[5.7629 0.4158 0.7708 4.4508]
[5.8616 0.4177 0.7778 4.4521]
[5.9566 0.4056 0.7841 4.0549]
[5.6653 0.4175 0.7625 4.8443]
[5.8095 0.4147 0.7749 4.0664]
[6.     0.4189 0.7568 4.6996]
[6.     0.4093 0.741  4.3373]
[5.7992 0.4108 0.7975 5.1263]
[4.9103 0.4179 0.7678 4.6514]
[6.     0.3811 0.7796 4.7052]
[6.     0.4226 0.7252 4.0461]
[5.8257 0.4456 0.72   4.5331]
[5.8834 0.36   0.7462 5.6688]
[6.     0.36   0.72   4.5915]
[5.573  0.4742 0.72   4.2316]
[6.     0.3925 0.8052 3.2069]
[6.     0.451  0.72   4.3152]
[6.     0.36   0.8205 3.    ]
[5.3023 0.36   0.92   5.9955]
[6.     0.4796 0.7248 3.    ]
[6.     0.36   0.7805 6.    ]
[6.   0.36 0.92 3.  ]
[3.296  0.48   0.72   3.7071]
[6.     0.4204 0.92   6.    ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
