[5.7821 0.4306 0.7948 3.7363]
[5.7821 0.4306 0.7948 3.7363]
[5.7821 0.4306 0.7948 3.7363]
[5.7821 0.4306 0.7948 3.7363]
[5.7821 0.4306 0.7948 3.7363]
[5.7821 0.4306 0.7948 3.7363]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[5.9609 0.4123 0.7499 4.5968]
[6.     0.4158 0.7762 4.5482]
[6.     0.4309 0.7705 4.1453]
[6.     0.4309 0.7705 4.1453]
[6.     0.4309 0.7705 4.1453]
[6.     0.4309 0.7705 4.1453]
[5.8619 0.4129 0.7733 4.2668]
[5.8785 0.4061 0.7826 4.6719]
[5.9078 0.4213 0.7693 4.7223]
[6.     0.4118 0.7871 4.5632]
[5.7331 0.4153 0.7703 4.6699]
[5.7016 0.4073 0.7912 4.1919]
[5.7407 0.4233 0.7388 4.5931]
[5.6605 0.4235 0.72   4.9978]
[5.1963 0.4614 0.7441 4.6569]
[5.8258 0.36   0.8863 3.7568]
[6.     0.3945 0.8403 3.    ]
[6.     0.428  0.8931 5.0877]
[6.     0.3665 0.8804 3.6551]
[5.1239 0.3658 0.8135 4.1687]
[5.5015 0.48   0.72   3.2941]
[6.     0.48   0.863  5.9447]
[6.     0.36   0.8125 5.2392]
[6.     0.48   0.72   5.4826]
[4.4953 0.4548 0.859  6.    ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.     0.48   0.92   4.5115]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.     0.36   0.72   4.4306]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
