[5.5949 0.4375 0.804  3.9749]
[5.3163 0.4369 0.7776 4.1207]
[5.3163 0.4369 0.7776 4.1207]
[5.6407 0.4227 0.8042 4.0529]
[5.6407 0.4227 0.8042 4.0529]
[5.6407 0.4227 0.8042 4.0529]
[5.6407 0.4227 0.8042 4.0529]
[5.6407 0.4227 0.8042 4.0529]
[5.866  0.4191 0.7564 4.3761]
[5.866  0.4191 0.7564 4.3761]
[5.866  0.4191 0.7564 4.3761]
[5.866  0.4191 0.7564 4.3761]
[5.995  0.4169 0.7814 4.2551]
[6.     0.4228 0.7706 4.3722]
[6.     0.4186 0.7723 4.4059]
[6.     0.4186 0.7723 4.4059]
[6.     0.4186 0.7723 4.4059]
[5.9721 0.411  0.7716 4.4029]
[5.966  0.4121 0.7663 4.0673]
[6.     0.4228 0.7835 4.3174]
[6.     0.4158 0.7763 4.4926]
[6.     0.4065 0.7772 4.9676]
[6.     0.4231 0.7474 4.362 ]
[5.8061 0.4055 0.7683 4.3367]
[5.7807 0.4171 0.7941 4.5623]
[4.4266 0.4203 0.7726 4.2962]
[5.9223 0.3833 0.7751 5.4133]
[6.     0.4252 0.7358 3.9911]
[3.9548 0.3918 0.72   3.883 ]
[4.939  0.36   0.8233 4.3445]
[5.8688 0.4402 0.72   3.    ]
[4.1393 0.48   0.8128 3.0881]
[4.3296 0.36   0.7886 6.    ]
[3.2834 0.36   0.7306 3.    ]
[6.   0.36 0.72 6.  ]
[5.7523 0.48   0.7239 6.    ]
[3.     0.4549 0.8955 6.    ]
[5.2294 0.48   0.92   3.0705]
[6.   0.36 0.92 3.  ]
[4.7317 0.36   0.92   6.    ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.     0.48   0.92   4.4223]
[6.     0.3732 0.92   3.    ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.     0.3995 0.92   3.    ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
