[5.4334 0.4317 0.813  4.0157]
[5.4854 0.4369 0.7842 3.7026]
[5.4854 0.4369 0.7842 3.7026]
[5.4854 0.4369 0.7842 3.7026]
[5.4071 0.4327 0.8152 3.7411]
[5.4071 0.4327 0.8152 3.7411]
[5.4071 0.4327 0.8152 3.7411]
[5.4071 0.4327 0.8152 3.7411]
[5.4071 0.4327 0.8152 3.7411]
[5.9775 0.4136 0.7638 4.4662]
[5.9775 0.4136 0.7638 4.4662]
[5.9775 0.4136 0.7638 4.4662]
[5.9775 0.4136 0.7638 4.4662]
[5.7388 0.4182 0.7725 4.3586]
[6.     0.4122 0.7589 4.3923]
[6.     0.4122 0.7589 4.3923]
[6.     0.4122 0.7589 4.3923]
[6.     0.4122 0.7589 4.3923]
[5.9836 0.4289 0.78   4.2667]
[5.7014 0.4222 0.7696 4.1648]
[5.97   0.3997 0.7515 4.5852]
[5.6967 0.4318 0.7669 3.9984]
[6.     0.4033 0.7791 3.949 ]
[6.     0.4571 0.7535 4.8344]
[5.9146 0.4127 0.7879 3.5417]
[6.     0.4255 0.7511 4.3217]
[6.     0.412  0.7988 3.866 ]
[4.8667 0.3987 0.7506 5.589 ]
[5.9849 0.391  0.7615 5.6497]
[5.4954 0.36   0.72   4.337 ]
[4.0116 0.36   0.8161 3.    ]
[3.5883 0.3759 0.8732 6.    ]
[3.8161 0.4485 0.72   3.193 ]
[6.     0.4015 0.92   3.7641]
[6.     0.48   0.8779 3.    ]
[3.     0.36   0.8965 5.705 ]
[3.4284 0.4356 0.72   5.719 ]
[4.9355 0.36   0.8549 5.3108]
[3.3697 0.36   0.92   3.    ]
[6.     0.3854 0.92   3.    ]
[3.   0.48 0.92 3.  ]
[4.6762 0.48   0.92   6.    ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[4.0802 0.36   0.72   3.    ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
