[5.5164 0.4376 0.814  3.7416]
[5.2926 0.4256 0.829  3.7808]
[5.2926 0.4256 0.829  3.7808]
[5.7484 0.4289 0.8012 3.7494]
[5.7484 0.4289 0.8012 3.7494]
[5.7484 0.4289 0.8012 3.7494]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.9769 0.4099 0.7544 4.6677]
[5.8449 0.4068 0.7848 4.4979]
[5.7945 0.4046 0.7584 4.4311]
[5.8799 0.4172 0.7726 4.4542]
[5.8799 0.4172 0.7726 4.4542]
[5.8799 0.4172 0.7726 4.4542]
[5.8736 0.3965 0.7744 4.2814]
[5.8357 0.4123 0.7781 4.3577]
[5.8178 0.4131 0.7635 4.6226]
[6.     0.4252 0.7468 4.4688]
[5.8543 0.3847 0.7572 4.1821]
[5.9889 0.3922 0.8213 4.2586]
[6.     0.3738 0.7835 4.4259]
[6.     0.4186 0.7926 3.7794]
[5.5281 0.4327 0.72   4.5508]
[5.6347 0.4255 0.7611 3.7183]
[5.1083 0.4082 0.7408 5.562 ]
[5.876  0.42   0.72   5.4527]
[6.     0.48   0.72   4.2311]
[6.    0.431 0.797 6.   ]
[6.   0.48 0.72 6.  ]
[6.     0.48   0.8068 5.198 ]
[6.     0.4347 0.92   6.    ]
[6.     0.36   0.8735 4.1984]
[4.6319 0.36   0.92   3.    ]
[6.   0.36 0.72 3.  ]
[6.     0.36   0.8517 6.    ]
[6.     0.36   0.92   4.0006]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.    0.472 0.72  6.   ]
[6.   0.36 0.72 6.  ]
[6.     0.36   0.8231 6.    ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.     0.48   0.8656 3.    ]
[3.     0.36   0.72   4.5151]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.     0.48   0.92   3.9926]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
