[5.7144 0.4333 0.8065 3.6911]
[5.7144 0.4333 0.8065 3.6911]
[5.7452 0.4251 0.8165 3.8737]
[5.7452 0.4251 0.8165 3.8737]
[5.879  0.4366 0.7903 3.4191]
[5.879  0.4366 0.7903 3.4191]
[5.4548 0.4289 0.805  3.7864]
[5.4548 0.4289 0.805  3.7864]
[5.4548 0.4289 0.805  3.7864]
[5.5263 0.4243 0.8135 3.9866]
[5.5263 0.4243 0.8135 3.9866]
[5.5263 0.4243 0.8135 3.9866]
[5.5263 0.4243 0.8135 3.9866]
[6.     0.4169 0.7832 4.2355]
[6.     0.4167 0.7625 4.3216]
[6.     0.4167 0.7625 4.3216]
[6.     0.4167 0.7625 4.3216]
[6.     0.4167 0.7625 4.3216]
[6.     0.4218 0.7809 4.1087]
[6.     0.4191 0.7738 4.3136]
[5.9634 0.4133 0.7729 4.6672]
[6.     0.4011 0.7659 3.8234]
[5.9805 0.3833 0.784  4.4066]
[6.     0.4293 0.7667 4.2806]
[5.4514 0.428  0.776  4.1279]
[6.     0.3692 0.8179 5.1888]
[6.     0.3862 0.8226 5.1699]
[4.6395 0.4343 0.8213 4.6519]
[6.     0.4432 0.72   3.8034]
[6.     0.3754 0.7375 5.7122]
[4.8276 0.48   0.7686 3.4613]
[6.   0.48 0.72 6.  ]
[5.5236 0.3913 0.7482 3.    ]
[4.7933 0.399  0.8685 4.3328]
[6.     0.4187 0.92   4.2979]
[3.     0.36   0.7689 5.9319]
[6.     0.36   0.9169 6.    ]
[4.346  0.4756 0.8888 6.    ]
[6.     0.48   0.72   4.1043]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.     0.36   0.72   4.2222]
[3.   0.36 0.92 3.  ]
[3.     0.48   0.7414 6.    ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.     0.36   0.9175 6.    ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
