[5.5118 0.4347 0.8114 3.7809]
[5.3629 0.4307 0.7954 4.1355]
[5.3629 0.4307 0.7954 4.1355]
[5.6081 0.4219 0.8238 4.0947]
[5.8592 0.4257 0.8004 3.8655]
[5.8592 0.4257 0.8004 3.8655]
[5.8926 0.4163 0.7643 4.3677]
[5.8926 0.4163 0.7643 4.3677]
[5.8926 0.4163 0.7643 4.3677]
[5.8926 0.4163 0.7643 4.3677]
[5.983  0.4105 0.763  4.5979]
[5.983  0.4105 0.763  4.5979]
[5.983  0.4105 0.763  4.5979]
[5.7807 0.4107 0.7787 4.4784]
[6.     0.4117 0.7667 4.4774]
[6.     0.4117 0.7667 4.4774]
[6.     0.4117 0.7667 4.4774]
[6.     0.4117 0.7667 4.4774]
[6.     0.4007 0.7836 4.4077]
[5.8504 0.4037 0.7748 4.2046]
[6.     0.411  0.7618 4.5372]
[6.     0.4076 0.7625 4.4174]
[6.     0.4207 0.8113 3.9135]
[5.7718 0.4071 0.757  4.5942]
[5.4251 0.4291 0.783  4.3207]
[5.7685 0.3893 0.7983 5.1508]
[6.     0.4594 0.7777 4.7432]
[5.0883 0.4377 0.795  5.7162]
[4.8552 0.3819 0.72   4.4461]
[5.299  0.4717 0.7755 5.1535]
[3.     0.4093 0.72   3.4451]
[4.5049 0.36   0.72   6.    ]
[5.7952 0.36   0.8143 3.    ]
[6.     0.4365 0.72   3.3543]
[6.     0.4391 0.7811 3.331 ]
[4.5349 0.48   0.92   4.5513]
[6.     0.4196 0.72   3.    ]
[6.   0.36 0.72 6.  ]
[6.     0.36   0.92   3.1155]
[6.   0.36 0.92 3.  ]
[4.716 0.36  0.92  6.   ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[4.4469 0.48   0.72   6.    ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.    0.36  0.72  4.497]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
