[5.5931 0.4295 0.8229 3.4739]
[5.1813 0.4337 0.8145 3.8056]
[5.1813 0.4337 0.8145 3.8056]
[5.1813 0.4337 0.8145 3.8056]
[5.4591 0.4264 0.8078 3.9217]
[5.4591 0.4264 0.8078 3.9217]
[5.7374 0.4223 0.8074 3.9537]
[5.9403 0.4149 0.7752 4.4295]
[5.9403 0.4149 0.7752 4.4295]
[5.9403 0.4149 0.7752 4.4295]
[5.9403 0.4149 0.7752 4.4295]
[5.9403 0.4149 0.7752 4.4295]
[5.9403 0.4149 0.7752 4.4295]
[5.7877 0.4121 0.7871 4.0965]
[5.7246 0.4036 0.801  4.6034]
[5.7246 0.4036 0.801  4.6034]
[5.7246 0.4036 0.801  4.6034]
[5.7246 0.4036 0.801  4.6034]
[6.     0.4052 0.7824 4.5907]
[6.     0.4121 0.7832 4.5823]
[5.8233 0.4077 0.7745 4.3124]
[5.8258 0.4214 0.7464 4.3067]
[5.5985 0.4226 0.7574 4.4318]
[6.     0.4208 0.7366 4.7373]
[6.     0.383  0.7677 4.4787]
[6.     0.4042 0.7561 5.0189]
[5.5163 0.3648 0.7403 4.1631]
[6.     0.373  0.72   5.9934]
[5.2952 0.4478 0.774  4.448 ]
[5.4712 0.3901 0.7849 5.9424]
[6.     0.3683 0.9083 3.9828]
[6.     0.48   0.8504 3.8412]
[6.   0.36 0.72 6.  ]
[6.     0.48   0.8012 3.4702]
[6.     0.4492 0.7243 3.    ]
[5.9068 0.36   0.72   3.    ]
[3.     0.4184 0.92   4.5194]
[3.     0.4686 0.92   6.    ]
[5.4994 0.48   0.92   3.    ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[4.365 0.36  0.92  6.   ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.     0.4148 0.72   6.    ]
[6.   0.48 0.72 3.  ]
[6.     0.36   0.72   4.0943]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
