[5.6501 0.4355 0.7884 3.6291]
[5.6501 0.4355 0.7884 3.6291]
[5.6501 0.4355 0.7884 3.6291]
[5.6501 0.4355 0.7884 3.6291]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.7044 0.4233 0.7865 4.0921]
[5.9154 0.4019 0.7645 4.7115]
[5.9167 0.4114 0.7853 4.2977]
[5.9821 0.4191 0.7892 4.1914]
[5.9291 0.4138 0.7739 4.4019]
[5.9291 0.4138 0.7739 4.4019]
[5.915  0.3987 0.7584 4.3114]
[6.     0.4098 0.7722 4.6499]
[5.7365 0.4138 0.7632 4.3038]
[6.     0.4215 0.7717 4.6569]
[6.     0.4177 0.7253 3.9072]
[6.     0.4196 0.8002 4.4759]
[5.5063 0.42   0.7718 4.6606]
[6.     0.4346 0.8232 4.268 ]
[6.     0.4532 0.7979 4.2009]
[6.     0.4081 0.7818 4.9366]
[6.     0.3735 0.8592 4.0805]
[5.6793 0.4403 0.7907 4.0134]
[4.2438 0.4189 0.7441 3.2707]
[3.69 0.48 0.72 6.  ]
[4.3548 0.419  0.72   4.7674]
[6.     0.3789 0.92   6.    ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[4.5479 0.4295 0.72   4.9019]
[6.   0.36 0.92 6.  ]
[6.     0.36   0.72   3.5093]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[4.3207 0.36   0.72   3.    ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.0662 0.48   0.92   6.    ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
