[5.5505 0.4458 0.8124 3.6617]
[5.2771 0.4332 0.7848 3.7818]
[5.2771 0.4332 0.7848 3.7818]
[5.4689 0.4291 0.7929 3.9592]
[5.4689 0.4291 0.7929 3.9592]
[5.4689 0.4291 0.7929 3.9592]
[5.4689 0.4291 0.7929 3.9592]
[5.4689 0.4291 0.7929 3.9592]
[5.6968 0.4272 0.8031 3.7358]
[5.6968 0.4272 0.8031 3.7358]
[5.6968 0.4243 0.8068 3.8464]
[5.6968 0.4243 0.8068 3.8464]
[5.6968 0.4243 0.8068 3.8464]
[5.7363 0.4214 0.7699 4.3093]
[6.     0.4238 0.752  4.7067]
[6.     0.4238 0.752  4.7067]
[5.9976 0.4238 0.7676 4.3194]
[5.9976 0.4238 0.7676 4.3194]
[5.7427 0.4086 0.7812 4.4239]
[6.     0.4187 0.7691 4.5086]
[5.7741 0.412  0.767  4.3022]
[5.8894 0.4113 0.7839 4.3778]
[5.4081 0.4153 0.7784 4.6338]
[6.     0.4196 0.805  4.2773]
[6.     0.446  0.7906 3.7758]
[6.     0.3803 0.7583 3.9954]
[5.2817 0.4423 0.8074 5.1114]
[6.     0.3723 0.7485 4.197 ]
[6.     0.3971 0.773  3.    ]
[4.2695 0.4464 0.8256 4.3674]
[6.     0.4036 0.7604 3.    ]
[6.     0.3679 0.8312 5.4051]
[6.     0.3989 0.72   3.    ]
[3.     0.36   0.8047 4.5211]
[6.     0.4368 0.72   5.0677]
[6.     0.4087 0.8677 4.3057]
[5.5825 0.36   0.92   5.8915]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[3.     0.4044 0.92   3.    ]
[4.2692 0.48   0.72   6.    ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[5.2975 0.388  0.72   3.    ]
[6.   0.48 0.72 3.  ]
[3.     0.4478 0.72   6.    ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.48 0.92 3.  ]
