[5.1211 0.4279 0.7964 3.6019]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.3038 0.4299 0.786  4.0157]
[5.848  0.4151 0.77   4.4861]
[5.848  0.4151 0.77   4.4861]
[5.848  0.4151 0.77   4.4861]
[5.9381 0.4224 0.7617 4.4836]
[6.     0.4202 0.7803 4.5878]
[6.     0.4202 0.7803 4.5878]
[6.     0.4133 0.783  4.4333]
[6.     0.4133 0.783  4.4333]
[5.8453 0.417  0.7802 4.2365]
[5.9495 0.4187 0.7729 4.2753]
[5.7655 0.4253 0.7648 4.0188]
[5.9011 0.4272 0.7796 3.9416]
[5.8828 0.4295 0.7765 4.2453]
[6.     0.4264 0.7654 3.6961]
[5.7644 0.4247 0.7947 4.1352]
[5.4818 0.4031 0.72   4.6522]
[6.     0.4121 0.731  4.9316]
[4.3908 0.4542 0.72   5.6569]
[6.     0.4613 0.7391 4.0479]
[6.     0.4026 0.72   4.2613]
[4.4727 0.36   0.72   4.5908]
[4.0822 0.4137 0.7373 3.    ]
[6.    0.467 0.72  3.   ]
[3.     0.4123 0.92   3.    ]
[4.3188 0.4111 0.92   4.9997]
[6.     0.36   0.8325 6.    ]
[4.7531 0.4168 0.7572 6.    ]
[6.   0.48 0.72 3.  ]
[6.     0.4111 0.7615 6.    ]
[3.4476 0.36   0.72   3.    ]
[3.935  0.48   0.7953 6.    ]
[6.   0.36 0.72 6.  ]
[5.0182 0.48   0.72   3.    ]
[3.   0.48 0.72 6.  ]
[3.     0.36   0.92   5.2606]
[3.     0.36   0.9148 3.3353]
[3.   0.36 0.92 6.  ]
[6.     0.4726 0.72   3.    ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[4.7062 0.36   0.92   3.    ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
