[5.3201 0.4319 0.8197 3.6715]
[5.3201 0.4319 0.8197 3.6715]
[5.3201 0.4319 0.8197 3.6715]
[5.3201 0.4319 0.8197 3.6715]
[5.2495 0.4258 0.815  4.0501]
[5.2495 0.4258 0.815  4.0501]
[5.2495 0.4258 0.815  4.0501]
[5.2495 0.4258 0.815  4.0501]
[5.2495 0.4258 0.815  4.0501]
[5.2495 0.4258 0.815  4.0501]
[5.8885 0.4176 0.7639 4.3383]
[5.923  0.4106 0.7639 4.6533]
[5.923  0.4106 0.7639 4.6533]
[5.7957 0.4242 0.7735 4.3531]
[5.8933 0.4212 0.7555 4.5302]
[5.8933 0.4212 0.7555 4.5302]
[5.8933 0.4212 0.7555 4.5302]
[5.8933 0.4212 0.7555 4.5302]
[5.9317 0.4067 0.7786 4.3393]
[6.     0.4022 0.7795 4.4567]
[5.8413 0.4168 0.7837 3.7232]
[5.7628 0.414  0.7553 4.4428]
[6.     0.4299 0.7488 4.2973]
[6.     0.4349 0.7692 4.7999]
[5.9259 0.3855 0.8213 4.1589]
[5.5452 0.4037 0.7624 4.3531]
[6.     0.4111 0.788  3.6956]
[5.443  0.4322 0.72   4.6333]
[4.9372 0.4366 0.7633 5.4921]
[5.9723 0.48   0.7342 5.4385]
[6.    0.421 0.72  6.   ]
[6.     0.4691 0.8607 3.    ]
[4.3527 0.4255 0.72   3.    ]
[6.     0.3913 0.72   3.    ]
[6.     0.48   0.7598 6.    ]
[6.     0.36   0.8426 3.8918]
[3.784  0.4544 0.92   6.    ]
[3.   0.36 0.72 3.  ]
[4.0964 0.36   0.8094 6.    ]
[6.   0.48 0.72 6.  ]
[4.4589 0.36   0.72   6.    ]
[3.   0.48 0.72 6.  ]
[4.8662 0.36   0.72   3.    ]
[6.     0.48   0.7571 3.    ]
[6.   0.48 0.72 3.  ]
[3.     0.36   0.72   3.3887]
[5.8005 0.36   0.92   3.    ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.36 0.92 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
