[5.4382 0.4316 0.802  3.3762]
[5.4093 0.4339 0.8258 3.3762]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.4093 0.4247 0.8006 4.0768]
[5.7903 0.4174 0.7672 4.4342]
[5.7903 0.4174 0.7672 4.4342]
[5.7903 0.4174 0.7672 4.4342]
[5.7903 0.4174 0.7672 4.4342]
[5.8209 0.4137 0.7733 4.5307]
[5.8188 0.4194 0.7598 4.2369]
[5.8188 0.4194 0.7598 4.2369]
[5.8188 0.4194 0.7598 4.2369]
[5.8188 0.4194 0.7598 4.2369]
[5.7594 0.4049 0.765  4.4697]
[6.     0.4253 0.7787 4.3333]
[5.8569 0.4147 0.7666 4.6734]
[5.9055 0.398  0.7522 4.9113]
[6.     0.412  0.7745 3.9775]
[6.     0.4074 0.7579 3.5401]
[6.     0.3878 0.7499 4.2231]
[6.     0.4082 0.7357 3.3208]
[5.8316 0.4017 0.8171 5.7914]
[5.1023 0.3945 0.755  4.2156]
[5.8033 0.3915 0.7532 4.2876]
[5.4937 0.4195 0.7811 5.9426]
[6.     0.382  0.7311 4.1147]
[6.     0.448  0.7587 4.0429]
[3.084  0.36   0.72   4.4081]
[3.3903 0.36   0.92   6.    ]
[4.3933 0.4623 0.72   5.278 ]
[5.5475 0.36   0.92   4.1526]
[3.   0.48 0.92 3.  ]
[5.4074 0.36   0.72   3.    ]
[6.     0.36   0.92   4.8057]
[6.     0.48   0.72   3.0786]
[3.   0.36 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.72 6.  ]
[5.481 0.48  0.72  6.   ]
[3.   0.48 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.72 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.92 6.  ]
[6.   0.48 0.72 3.  ]
[6.   0.36 0.92 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[4.0093 0.48   0.72   6.    ]
[6.   0.48 0.92 6.  ]
[6.   0.36 0.92 6.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
[3.   0.36 0.72 6.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[6.   0.36 0.72 3.  ]
[3.   0.48 0.72 3.  ]
[6.   0.48 0.72 3.  ]
[6.   0.48 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.48 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.36 0.72 6.  ]
[3.   0.36 0.92 3.  ]
[6.   0.48 0.72 6.  ]
[3.   0.36 0.72 3.  ]
[3.   0.48 0.72 6.  ]
[6.   0.48 0.92 3.  ]
[6.   0.36 0.72 3.  ]
[6.   0.36 0.72 6.  ]
[3.   0.48 0.92 6.  ]
[6.   0.36 0.92 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.36 0.92 3.  ]
[3.   0.36 0.92 3.  ]
[3.   0.48 0.72 6.  ]
[3.   0.48 0.72 3.  ]
[3.   0.36 0.92 6.  ]
[3.   0.48 0.92 6.  ]
