
Mode 1

 Frequency      =   5.7166583E+00 GHz

 Total Q        =   1.7148469E+05
 Total Loss_av  =   2.0893757E+05
 Total Energy   =   9.9751578E-01

QFI-File (settings of Loss and Q-calculation):
==============================================

Q-Factor Information File Version 20010206
H-Field Mode 1
Frequency/Hz 5.716658340540e+09
Boundary Xmin1 Xmax1 Ymin1 Ymax1 Zmin1 Zmax1
Method new
Save3D FALSE
Layer **Cond. Enclosure** 5.800000000000e+07 1.000000000000e+00




              Logfile of Voltage Integration
              ==============================

 Stepsize                : 0.1739535

                 low        high    stepsize
         ----------- ----------- -----------
       X           0           0           1
       Y           0           0           1
       Z           0       26.24  1.7377E-01

Summary of electric voltage-integration:
========================================

frequency  = 5.71665834053998 GHz
beta       = 1
V_real     = 2003.42791163758
V_imag     = -2015514.13527091
V_full     = 2015515.13097774              = absolute value of   int(Ez*exp(ikz)dz)      k=2*pi*freq/beta/clight

 NData Points = 151


           X           Y           Z     delta_w     Ew_real     Ew_imag   cos(alfa)   sin(alfa)   Vsum_real   Vsum_imag
 ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- -----------
           0           0  8.6887E-02  1.7377E-04 -2450843.75           0  9.9995E-01  1.0410E-02 -4.2587E+02 -4.4336E+00
           0           0  2.6066E-01  1.7377E-04  -5453853.5           0  9.9951E-01  3.1225E-02 -1.3732E+03 -3.4027E+01
           0           0  4.3444E-01  1.7377E-04    -8607292           0  9.9865E-01  5.2027E-02 -2.8669E+03 -1.1185E+02
           0           0  6.0821E-01  1.7377E-04   -11911164           0  9.9735E-01  7.2807E-02 -4.9312E+03 -2.6255E+02
           0           0  7.8199E-01  1.7377E-04   -15365461           0  9.9561E-01  9.3555E-02 -7.5896E+03 -5.1235E+02
           0           0  9.5576E-01  1.7377E-04   -18970192           0  9.9345E-01  1.1426E-01 -1.0865E+04 -8.8902E+02
           0           0  1.1295E+00  1.7377E-04   -22725350           0  9.9086E-01  1.3492E-01 -1.4778E+04 -1.4218E+03
           0           0  1.3033E+00  1.7377E-04   -26630938           0  9.8783E-01  1.5552E-01 -1.9349E+04 -2.1415E+03
           0           0  1.4771E+00  1.7377E-04   -30686956           0  9.8438E-01  1.7605E-01 -2.4598E+04 -3.0803E+03
           0           0  1.6509E+00  1.7377E-04   -34893412           0  9.8050E-01  1.9651E-01 -3.0544E+04 -4.2719E+03
           0           0  1.8246E+00  1.7377E-04   -39250292           0  9.7620E-01  2.1688E-01 -3.7202E+04 -5.7511E+03
           0           0  1.9984E+00  1.7377E-04   -43910260           0  9.7147E-01  2.3715E-01 -4.4615E+04 -7.5607E+03
           0           0  2.1722E+00  1.7377E-04   -48697388           0  9.6632E-01  2.5733E-01 -5.2792E+04 -9.7383E+03
           0           0  2.3460E+00  1.7377E-04   -53449012           0  9.6076E-01  2.7739E-01 -6.1716E+04 -1.2315E+04
           0           0  2.5197E+00  1.7377E-04   -58165120           0  9.5477E-01  2.9733E-01 -7.1366E+04 -1.5320E+04
           0           0  2.6935E+00  1.7377E-04   -62845736           0  9.4838E-01  3.1714E-01 -8.1724E+04 -1.8784E+04
           0           0  2.8673E+00  1.7377E-04   -67490840           0  9.4157E-01  3.3682E-01 -9.2767E+04 -2.2734E+04
           0           0  3.0411E+00  1.7377E-04   -72100440           0  9.3435E-01  3.5635E-01 -1.0447E+05 -2.7199E+04
           0           0  3.2148E+00  1.7377E-04   -76674544           0  9.2673E-01  3.7572E-01 -1.1682E+05 -3.2205E+04
           0           0  3.3886E+00  1.7377E-04   -81213136           0  9.1871E-01  3.9493E-01 -1.2979E+05 -3.7778E+04
           0           0  3.5624E+00  1.7377E-04   -85716224           0  9.1029E-01  4.1398E-01 -1.4335E+05 -4.3945E+04
           0           0  3.7362E+00  1.7377E-04   -90032952           0  9.0147E-01  4.3284E-01 -1.5745E+05 -5.0717E+04
           0           0  3.9099E+00  1.7377E-04   -93167592           0  8.9227E-01  4.5151E-01 -1.7190E+05 -5.8027E+04
           0           0  4.0837E+00  1.7377E-04   -96177584           0  8.8267E-01  4.6999E-01 -1.8665E+05 -6.5882E+04
           0           0  4.2575E+00  1.7377E-04   -99062832           0  8.7270E-01  4.8826E-01 -2.0167E+05 -7.4287E+04
           0           0  4.4313E+00  1.7377E-04  -101823408           0  8.6234E-01  5.0633E-01 -2.1693E+05 -8.3246E+04
           0           0  4.6050E+00  1.7377E-04  -104459304           0  8.5161E-01  5.2417E-01 -2.3239E+05 -9.2761E+04
           0           0  4.7788E+00  1.7377E-04  -106970528           0  8.4052E-01  5.4179E-01 -2.4801E+05 -1.0283E+05
           0           0  4.9526E+00  1.7377E-04  -109357056           0  8.2906E-01  5.5917E-01 -2.6377E+05 -1.1346E+05
           0           0  5.1264E+00  1.7377E-04  -111618888           0  8.1723E-01  5.7631E-01 -2.7962E+05 -1.2464E+05
           0           0  5.3001E+00  1.7377E-04  -113756056           0  8.0506E-01  5.9319E-01 -2.9553E+05 -1.3636E+05
           0           0  5.4739E+00  1.7377E-04  -115768512           0  7.9254E-01  6.0983E-01 -3.1148E+05 -1.4863E+05
           0           0  5.6477E+00  1.7377E-04  -117656304           0  7.7967E-01  6.2619E-01 -3.2742E+05 -1.6143E+05
           0           0  5.8215E+00  1.7377E-04  -119419384           0  7.6646E-01  6.4229E-01 -3.4332E+05 -1.7476E+05
           0           0  5.9952E+00  1.7377E-04  -120697392           0  7.5292E-01  6.5811E-01 -3.5912E+05 -1.8857E+05
           0           0  6.1690E+00  1.7377E-04  -121526912           0  7.3906E-01  6.7364E-01 -3.7472E+05 -2.0279E+05
           0           0  6.3428E+00  1.7377E-04  -122334080           0  7.2488E-01  6.8888E-01 -3.9013E+05 -2.1744E+05
           0           0  6.5166E+00  1.7377E-04  -123118904           0  7.1038E-01  7.0382E-01 -4.0533E+05 -2.3250E+05
           0           0  6.6903E+00  1.7377E-04  -123881360           0  6.9557E-01  7.1846E-01 -4.2031E+05 -2.4796E+05
           0           0  6.8641E+00  1.7377E-04  -124621488           0  6.8046E-01  7.3278E-01 -4.3504E+05 -2.6383E+05
           0           0  7.0379E+00  1.7377E-04  -125339240           0  6.6506E-01  7.4679E-01 -4.4953E+05 -2.8010E+05
           0           0  7.2117E+00  1.7377E-04  -126034640           0  6.4937E-01  7.6048E-01 -4.6375E+05 -2.9675E+05
           0           0  7.3854E+00  1.7377E-04  -126707688           0  6.3339E-01  7.7383E-01 -4.7770E+05 -3.1379E+05
           0           0  7.5592E+00  1.7377E-04  -127358376           0  6.1715E-01  7.8685E-01 -4.9135E+05 -3.3121E+05
           0           0  7.7330E+00  1.7377E-04  -127986728           0  6.0063E-01  7.9953E-01 -5.0471E+05 -3.4899E+05
           0           0  7.9068E+00  1.7377E-04  -128592704           0  5.8386E-01  8.1186E-01 -5.1776E+05 -3.6713E+05
           0           0  8.0805E+00  1.7377E-04  -129176344           0  5.6683E-01  8.2384E-01 -5.3048E+05 -3.8562E+05
           0           0  8.2543E+00  1.7377E-04  -129737608           0  5.4955E-01  8.3546E-01 -5.4287E+05 -4.0446E+05
           0           0  8.4281E+00  1.7377E-04  -130276536           0  5.3204E-01  8.4672E-01 -5.5492E+05 -4.2363E+05
           0           0  8.6019E+00  1.7377E-04  -130793104           0  5.1430E-01  8.5761E-01 -5.6661E+05 -4.4312E+05
           0           0  8.7756E+00  1.7377E-04  -131287320           0  4.9633E-01  8.6813E-01 -5.7793E+05 -4.6293E+05
           0           0  8.9494E+00  1.7377E-04  -131652280           0  4.7815E-01  8.7828E-01 -5.8887E+05 -4.8302E+05
           0           0  9.1232E+00  1.7377E-04  -131866840           0  4.5976E-01  8.8804E-01 -5.9941E+05 -5.0337E+05
           0           0  9.2970E+00  1.7377E-04  -132077376           0  4.4117E-01  8.9742E-01 -6.0953E+05 -5.2397E+05
           0           0  9.4707E+00  1.7377E-04  -132283872           0  4.2240E-01  9.0641E-01 -6.1924E+05 -5.4480E+05
           0           0  9.6445E+00  1.7377E-04  -132486320           0  4.0343E-01  9.1501E-01 -6.2853E+05 -5.6587E+05
           0           0  9.8183E+00  1.7377E-04  -132684744           0  3.8430E-01  9.2321E-01 -6.3739E+05 -5.8715E+05
           0           0  9.9921E+00  1.7377E-04  -132879128           0  3.6499E-01  9.3101E-01 -6.4582E+05 -6.0865E+05
           0           0  1.0166E+01  1.7377E-04  -133069464           0  3.4553E-01  9.3841E-01 -6.5381E+05 -6.3035E+05
