[5.4683 0.4331 0.8055 3.6837]
[5.4693 0.4329 0.8052 3.6847]
[5.4703 0.432  0.8042 3.6857]
[5.4713 0.431  0.8032 3.6867]
[5.4723 0.43   0.8022 3.6877]
[5.4959 0.429  0.7977 3.8993]
[5.4969 0.428  0.7987 3.9003]
[5.4979 0.427  0.7992 3.9013]
[5.4969 0.428  0.7982 3.9023]
[5.4959 0.427  0.7972 3.9033]
[5.4949 0.4264 0.7962 3.9023]
[5.4939 0.4254 0.7952 3.9033]
[5.4929 0.4264 0.7942 3.9043]
[5.4919 0.4254 0.7932 3.9053]
[5.4909 0.4264 0.7942 3.9063]
[5.4899 0.4254 0.7952 3.9073]
[5.4889 0.4264 0.7942 3.9083]
[5.4776 0.4238 0.7889 4.1381]
[5.4786 0.4243 0.7879 4.1371]
[5.4796 0.4244 0.7869 4.1361]
[5.4806 0.4234 0.7859 4.1371]
[5.4816 0.4224 0.786  4.1381]
[5.4826 0.4215 0.787  4.1391]
[5.5171 0.4208 0.7846 4.2713]
[5.5181 0.4212 0.7836 4.2703]
[5.5191 0.4222 0.7831 4.2693]
[5.5201 0.4212 0.7821 4.2683]
[5.5211 0.4202 0.7831 4.2673]
[5.5221 0.42   0.7841 4.2663]
[5.5975 0.4209 0.782  4.2258]
[5.5975 0.4209 0.782  4.2258]
[5.5975 0.4209 0.782  4.2258]
[5.5975 0.4209 0.782  4.2258]
[5.5985 0.4199 0.781  4.2248]
[5.5995 0.4198 0.7803 4.2238]
[5.6005 0.4191 0.7813 4.2228]
[5.6015 0.4196 0.7823 4.2218]
[5.6025 0.4202 0.7814 4.2208]
[5.6035 0.4195 0.7811 4.2198]
[5.9997 0.4184 0.7812 4.0768]
[5.9996 0.4174 0.7802 4.0778]
[5.9998 0.4164 0.7792 4.0788]
[5.9998 0.4159 0.7782 4.0798]
[5.9995 0.4169 0.7775 4.0808]
[5.9996 0.4179 0.7765 4.0818]
[5.9997 0.4189 0.7755 4.0828]
[5.9998 0.4179 0.7745 4.0838]
[5.9995 0.4172 0.7724 4.2779]
[5.9995 0.4172 0.7724 4.2779]
[5.9995 0.4172 0.7724 4.2779]
[5.9995 0.4172 0.7724 4.2779]
[5.9999 0.4162 0.7714 4.2789]
[5.9999 0.4154 0.7722 4.2799]
[5.999  0.4164 0.7729 4.2809]
[5.9993 0.4154 0.7721 4.2819]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
[5.9995 0.4122 0.7719 4.4621]
